comments,id,issues,latitude,longitude,parking_duration,parking_time,issue_not_provided,issue_full,issue_damaged,issue_abandoned,issue_other,Status,Notes,View,Survey Date
,1,"['damaged', 'abandoned']",43.65322,-79.384452,minutes,"Sat, 12 Aug 2023 18:31:23 GMT",FALSE,FALSE,TRUE,TRUE,FALSE,Needs Checking,,🌎👀,
Naksns,4,"['full', 'damaged']",43.66942374,-79.37585592,multiday,"Sat, 12 Aug 2023 18:33:42 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,Invalid,Appears to be a test entry,🌎👀,
,5,"['damaged', 'abandoned', 'other']",43.6652329,-79.37881708,minutes,"Sat, 12 Aug 2023 18:34:10 GMT",FALSE,FALSE,TRUE,TRUE,TRUE,,,🌎👀,
,6,"['damaged', 'abandoned']",43.65322,-79.384452,minutes,"Sun, 13 Aug 2023 12:36:59 GMT",FALSE,FALSE,TRUE,TRUE,FALSE,Needs Checking,,🌎👀,
kljlkjk,7,"['other', 'abandoned']",43.64963107,-79.38675642,minutes,"Sun, 13 Aug 2023 12:37:25 GMT",FALSE,FALSE,FALSE,TRUE,TRUE,Invalid,Appears to be a test entry,🌎👀,
kljlkjk,8,"['other', 'abandoned']",43.64963107,-79.38675642,minutes,"Sun, 13 Aug 2023 12:37:25 GMT",FALSE,FALSE,FALSE,TRUE,TRUE,Invalid,Appears to be a test entry,🌎👀,
Nsksnsnd,9,"['abandoned', 'damaged']",43.6514709,-79.38691735,multiday,"Sun, 13 Aug 2023 12:49:28 GMT",FALSE,FALSE,TRUE,TRUE,FALSE,Invalid,Appears to be a test entry,🌎👀,
Nzmzs,10,"['abandoned', 'damaged', 'full']",43.65322,-79.384452,minutes,"Sun, 13 Aug 2023 12:51:09 GMT",FALSE,TRUE,TRUE,TRUE,FALSE,Invalid,Appears to be a test entry,🌎👀,
ksjdlkasg,11,"['not_provided', 'full']",43.65084211,-79.3906188,multiday,"Mon, 14 Aug 2023 12:20:09 GMT",TRUE,TRUE,FALSE,FALSE,FALSE,Invalid,Appears to be a test entry,🌎👀,
,13,"['damaged', 'not_provided']",43.65322,-79.384452,hours,"Mon, 14 Aug 2023 20:27:48 GMT",TRUE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
