comments,id,issues,latitude,longitude,parking_duration,parking_time,issue_not_provided,issue_full,issue_damaged,issue_abandoned,issue_other,parking_time_parsed,Status,Notes,Survey_Date,View,Asset,Check_311_Date,Check_311_Notes,City_Problem_Type
,1,"['damaged', 'abandoned']",43.65322,-79.384452,minutes,"Sat, 12 Aug 2023 18:31:23 GMT",FALSE,FALSE,TRUE,TRUE,FALSE,2023-08-12,Caution,City hall mini cluster,,🌎👀,,,,
Naksns,4,"['full', 'damaged']",43.66942374,-79.37585592,multiday,"Sat, 12 Aug 2023 18:33:42 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,2023-08-12,Invalid,Appears to be a test entry,,🌎👀,,,,
,5,"['damaged', 'abandoned', 'other']",43.6652329,-79.37881708,minutes,"Sat, 12 Aug 2023 18:34:10 GMT",FALSE,FALSE,TRUE,TRUE,TRUE,2023-08-12,Invalid,Likely test entry; no bicycle parking at pinned location,,🌎👀,,,,
,6,"['damaged', 'abandoned']",43.65322,-79.384452,minutes,"Sun, 13 Aug 2023 12:36:59 GMT",FALSE,FALSE,TRUE,TRUE,FALSE,2023-08-13,Caution,City hall mini cluster,,🌎👀,,,,
kljlkjk,7,"['other', 'abandoned']",43.64963107,-79.38675642,minutes,"Sun, 13 Aug 2023 12:37:25 GMT",FALSE,FALSE,FALSE,TRUE,TRUE,2023-08-13,Invalid,Appears to be a test entry,,🌎👀,,,,
kljlkjk,8,"['other', 'abandoned']",43.64963107,-79.38675642,minutes,"Sun, 13 Aug 2023 12:37:25 GMT",FALSE,FALSE,FALSE,TRUE,TRUE,2023-08-13,Invalid,Appears to be a test entry,,🌎👀,,,,
Nsksnsnd,9,"['abandoned', 'damaged']",43.6514709,-79.38691735,multiday,"Sun, 13 Aug 2023 12:49:28 GMT",FALSE,FALSE,TRUE,TRUE,FALSE,2023-08-13,Invalid,Appears to be a test entry,,🌎👀,,,,
Nzmzs,10,"['abandoned', 'damaged', 'full']",43.65322,-79.384452,minutes,"Sun, 13 Aug 2023 12:51:09 GMT",FALSE,TRUE,TRUE,TRUE,FALSE,2023-08-13,Invalid,Appears to be a test entry,,🌎👀,,,,
ksjdlkasg,11,"['not_provided', 'full']",43.65084211,-79.3906188,multiday,"Mon, 14 Aug 2023 12:20:09 GMT",TRUE,TRUE,FALSE,FALSE,FALSE,2023-08-14,Invalid,Appears to be a test entry,,🌎👀,,,,
,13,"['damaged', 'not_provided']",43.65322,-79.384452,hours,"Mon, 14 Aug 2023 20:27:48 GMT",TRUE,FALSE,TRUE,FALSE,FALSE,2023-08-14,Caution,City hall mini cluster,,🌎👀,,,,
,14,"['full', 'damaged']",43.65322,-79.384452,minutes,"Mon, 14 Aug 2023 20:28:21 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,2023-08-14,Caution,City hall mini cluster,,🌎👀,,,,
,15,"['damaged', 'abandoned']",43.66941598,-79.37628508,overnight,"Tue, 15 Aug 2023 11:13:59 GMT",FALSE,FALSE,TRUE,TRUE,FALSE,2023-08-15,Invalid,Likely test entry; no bicycle parking at pinned location,8/21/2024,🌎👀,,,,
,16,[''],43.6669028,-79.369072,minutes,"Tue, 15 Aug 2023 17:00:55 GMT",FALSE,FALSE,FALSE,FALSE,FALSE,2023-08-15,Invalid,No issue identified,,🌎👀,,,,
,17,"['damaged', 'full']",43.64946029,-79.39216375,multiday,"Tue, 15 Aug 2023 23:58:42 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,2023-08-15,,,,🌎👀,,,,
Almost no bike parking here. 2 posts in 3 blocks,19,['not_provided'],43.67455324,-79.45816755,hours,"Thu, 17 Aug 2023 04:39:50 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2023-08-17,,,,🌎👀,,,,
,20,"['damaged', 'full']",43.65276881,-79.38532155,minutes,"Thu, 17 Aug 2023 19:06:47 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,2023-08-17,,,,🌎👀,,,,
,21,['other'],43.6613344,-79.4304429,minutes,"Fri, 18 Aug 2023 15:38:45 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2023-08-18,,,,🌎👀,,,,
bike parking was full,22,['other'],43.65374538,-79.3935585,hours,"Mon, 21 Aug 2023 17:17:15 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2023-08-21,,,,🌎👀,,,,
,23,['not_provided'],43.64965436,-79.39106941,minutes,"Thu, 24 Aug 2023 00:17:30 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2023-08-24,,,,🌎👀,,,,
Poorly designed bike bike rack. A sad rack. But it was not meant to proper safe parking ,24,"['not_provided', 'full']",43.64622149,-79.46277915,hours,"Sun, 27 Aug 2023 23:53:55 GMT",TRUE,TRUE,FALSE,FALSE,FALSE,2023-08-27,,,,🌎👀,,,,
TEST,25,['other'],43.65322,-79.384452,minutes,"Sat, 02 Sep 2023 04:36:05 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2023-09-02,Invalid,Appears to be a test entry,,🌎👀,,,,
,26,[''],43.65486318,-79.38640773,minutes,"Sat, 02 Sep 2023 20:33:24 GMT",FALSE,FALSE,FALSE,FALSE,FALSE,2023-09-02,Invalid,No issue identified; #26 and #27 are duplicates,,🌎👀,,,,
,27,[''],43.65486318,-79.38640773,minutes,"Sat, 02 Sep 2023 20:33:24 GMT",FALSE,FALSE,FALSE,FALSE,FALSE,2023-09-02,Invalid,No issue identified; #26 and #27 are duplicates,,🌎👀,,,,
"Ring is missing from the centre  post. 
The newly installed post to the North has come loose. Poorly installed. ",28,['damaged'],43.65123863,-79.37751311,hours,"Mon, 18 Sep 2023 17:29:07 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,2023-09-18,,,,🌎👀,,,,
Bikeparking was full,29,"['damaged', 'full']",43.65272071,-79.3836236,hours,"Sat, 19 Aug 2023 01:02:00 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,2023-08-19,,,,🌎👀,,,,
no bike rack at appartment,31,['other'],43.68032632,-79.43526149,hours,"Tue, 19 Sep 2023 14:30:15 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,2023-09-19,,,,🌎👀,,,,
"No bike parking on Bay or at the corner of Bay and Lakeshore for Scotiabank arena. Venue for 10s of thousands of people, but no bike parking in a convenient location",32,['not_provided'],43.64335327,-79.37818408,hours,"Tue, 19 Sep 2023 23:30:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,2023-09-19,,,,🌎👀,,,,
