,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SITE_ADDRESS_x,WARD,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,bike_parking_indoor,bike_parking_outdoor,SITE_ADDRESS_y,LATITUDE,LONGITUDE,geometry,ward_code,ward_name,ward_full,neighbourhood_number,neighbourhood_name,neighbourhood_classification,neighbourhood_classification_code,BICYCLE_ZONE,short_term_min,short_term_max,long_term,short_term_min_unmet,short_term_max_unmet,long_term_unmet,total_unmet_min,total_req_min,pc_unmet
0,Not Available,17,352,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4155591,61  PELHAM PARK GDNS ,09,1968,2016,2017,,,61 PELHAM PARK GDNS,43.66925972,-79.457795659,POINT (-79.457795659 43.66925972),09,Davenport,Davenport (09),091,Weston-Pelham Park,Neighbourhood Improvement Area,NIA,1,36,71,317,36,71,317,353,353,1.0
1,Not Available,16,299,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4155601,275  SHUTER ST ,13,1964,1999,2017,,,275 SHUTER ST,43.655849077,-79.367907347,POINT (-79.367907347 43.655849077),13,Toronto Centre,Toronto Centre (13),073,Moss Park,Not an NIA or Emerging Neighbourhood,NA,1,30,60,270,30,60,270,300,300,1.0
2,Not Available,29,719,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4155605,200  WELLESLEY ST E,13,1970,2016,2017,,,200 WELLESLEY ST E,43.6680628106,-79.3736609333,POINT (-79.3736609333 43.6680628106),13,Toronto Centre,Toronto Centre (13),074,North St.James Town,Not an NIA or Emerging Neighbourhood,NA,1,72,144,648,72,144,648,720,720,1.0
3,Not Available,4,53,TCH,TCHC,4155611,59  EDGEWOOD AVE ,19,1956,2001,2017,,,59 EDGEWOOD AVE,43.6716543566,-79.3130970785,POINT (-79.3130970785 43.6716543566),19,Beaches-East York,Beaches-East York (19),064,Woodbine Corridor,Not an NIA or Emerging Neighbourhood,NA,1,6,11,48,6,11,48,54,54,1.0
4,20 indoor parking spots and 0 outdoor parking spots,6,126,AYKLER REAL ESTATE INC,SOCIAL HOUSING,4155614,1577  DANFORTH AVE ,19,1991,2013,2019,20,0,695 COXWELL AVE,43.6831806444,-79.3230461793,POINT (-79.3230461793 43.6831806444),19,Beaches-East York,Beaches-East York (19),064,Woodbine Corridor,Not an NIA or Emerging Neighbourhood,NA,1,13,26,114,13,26,94,107,127,0.84251968503937
5,Not Available,24,374,TCH,TCHC,4155618,15  TOBERMORY DR ,07,1972,1994,2017,,,15 TOBERMORY DR,43.760168119,-79.507896791,POINT (-79.507896791 43.760168119),07,Humber River-Black Creek,Humber River-Black Creek (07),024,Black Creek,Neighbourhood Improvement Area,NIA,2,14,27,255,14,27,255,269,269,1.0
6,24 indoor parking spots and 0 outdoor parking spots,7,74,HOMESTEAD LAND HOLDINGS LIMITED,PRIVATE,4156639,1761  SHEPPARD AVE E,17,2010,,2017,24,0,1761 SHEPPARD AVE E,43.775609539,-79.343036945,POINT (-79.343036945 43.775609539),17,Don Valley North,Don Valley North (17),053,Henry Farm,Not an NIA or Emerging Neighbourhood,NA,2,3,6,51,3,6,27,30,54,0.5555555555555556
7,Not Available,10,155,TCH,TCHC,4156706,230  SACKVILLE ST ,13,2013,,2017,,,230 SACKVILLE ST,43.659745976663565,-79.36313700180729,POINT (-79.36313700180729 43.659745976663565),13,Toronto Centre,Toronto Centre (13),072,Regent Park,Neighbourhood Improvement Area,NIA,1,16,31,140,16,31,140,156,156,1.0
8,36 indoor parking spots and 0 outdoor parking spots,12,153,BERNADA PROPERTIES,PRIVATE,4154101,150  COSBURN AVE ,14,1962,2010,2017,36,0,150 COSBURN AVE,43.6902830528,-79.3461159995,POINT (-79.3461159995 43.6902830528),14,Toronto-Danforth,Toronto-Danforth (14),058,Old East York,Not an NIA or Emerging Neighbourhood,NA,1,16,31,138,16,31,102,118,154,0.7662337662337663
9,Not Available,12,155,ENDERBY DEVELOPMENTS LIMITED,PRIVATE,4154112,55  COSBURN AVE ,14,1973,2005,2017,,,55 COSBURN AVE,43.688483646,-79.351998695,POINT (-79.351998695 43.688483646),14,Toronto-Danforth,Toronto-Danforth (14),057,Broadview North,Not an NIA or Emerging Neighbourhood,NA,1,16,31,140,16,31,140,156,156,1.0
