"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","96131984","542390523","542390523","138994.5205","138994.5205","2018"
"AUTOMOBILE","IN-BOUNDARY","107906958","544044573","544044573","139418.4087","139418.4087","2019"
"AUTOMOBILE","IN-BOUNDARY","87285514","373423201","373423201","95694.4909","95694.4909","2020"
"AUTOMOBILE","IN-BOUNDARY","95195855","424425057","424425057","108764.3715","108764.3715","2021"
"AUTOMOBILE","IN-BOUNDARY","106289085","469487231","469487231","120312.1323","120312.1323","2022"
"AUTOMOBILE","IN-BOUNDARY","109695495","481704752","481704752","123443.029","123443.029","2023"
"AUTOMOBILE","INBOUND","51869978","1643256312","821628156","421105.4829","210552.7415","2018"
"AUTOMOBILE","INBOUND","57756970","1786938537","893469268.5","457925.9488","228962.9744","2019"
"AUTOMOBILE","INBOUND","46069636","1277548416","638774208","327388.1885","163694.0942","2020"
"AUTOMOBILE","INBOUND","51126648","1490689698","745344849","382008.3792","191004.1896","2021"
"AUTOMOBILE","INBOUND","58015594","1720796316","860398158","440976.1552","220488.0776","2022"
"AUTOMOBILE","INBOUND","60868210","1807547030","903773515","463207.1398","231603.5699","2023"
"AUTOMOBILE","OUTBOUND","51624578","1623359638","811679819","416006.7053","208003.3527","2018"
"AUTOMOBILE","OUTBOUND","57536037","1760280317","880140158.5","451094.4376","225547.2188","2019"
"AUTOMOBILE","OUTBOUND","46008149","1266775112","633387556","324627.391","162313.6955","2020"
"AUTOMOBILE","OUTBOUND","51077853","1480453340","740226670","379385.181","189692.5905","2021"
"AUTOMOBILE","OUTBOUND","58108439","1715532694","857766347","439627.2845","219813.6422","2022"
"AUTOMOBILE","OUTBOUND","60757066","1789446745","894723372.5","458568.7093","229284.3547","2023"
"AUTOMOBILE","TOTAL","199626540","3809006473","2175698498","976106.7087","557550.6146","2018"
"AUTOMOBILE","TOTAL","223199965","4091263427","2317654000","1048438.7951","593928.6019","2019"
"AUTOMOBILE","TOTAL","179363299","2917746729","1645584965","747710.0704","421702.2806","2020"
"AUTOMOBILE","TOTAL","197400356","3395568095","1909996576","870157.9318","489461.1517","2021"
"AUTOMOBILE","TOTAL","222413118","3905816241","2187651736","1000915.572","560613.8522","2022"
"AUTOMOBILE","TOTAL","231320771","4078698527","2280201639.5","1045218.8781","584330.9535","2023"
"BUS","IN-BOUNDARY","807033","4496216","4496216","4679.4603","4679.4603","2018"
"BUS","IN-BOUNDARY","1067551","6689086","6689086","6961.7019","6961.7019","2019"
"BUS","IN-BOUNDARY","1104186","7373880","7373880","7674.4049","7674.4049","2020"
"BUS","IN-BOUNDARY","1032976","6980814","6980814","7265.3194","7265.3194","2021"
"BUS","IN-BOUNDARY","1498945","9236851","9236851","9613.3019","9613.3019","2022"
"BUS","IN-BOUNDARY","2156341","11971423","11971423","12459.3223","12459.3223","2023"
"BUS","INBOUND","518220","13643784","6821892","14199.8382","7099.9191","2018"
"BUS","INBOUND","656091","15904663","7952331.5","16552.8628","8276.4314","2019"
"BUS","INBOUND","627523","12074493","6037246.5","12566.593","6283.2965","2020"
"BUS","INBOUND","545447","10991707","5495853.5","11439.6777","5719.8388","2021"
"BUS","INBOUND","912440","22308224","11154112","23217.4031","11608.7016","2022"
"BUS","INBOUND","1354548","34778266","17389133","36195.6658","18097.8329","2023"
"BUS","OUTBOUND","487415","13376820","6688410","13921.9941","6960.997","2018"
"BUS","OUTBOUND","600931","15546465","7773232.5","16180.0664","8090.0332","2019"
"BUS","OUTBOUND","617469","12555031","6277515.5","13066.7155","6533.3577","2020"
"BUS","OUTBOUND","529191","11241004","5620502","11699.1349","5849.5674","2021"
"BUS","OUTBOUND","901083","23060886","11530443","24000.7401","12000.37","2022"
"BUS","OUTBOUND","1335832","35406486","17703243","36849.4891","18424.7446","2023"
"BUS","TOTAL","1812668","31516820","18006518","32801.2926","18740.3764","2018"
"BUS","TOTAL","2324573","38140214","22414650","39694.6311","23328.1665","2019"
"BUS","TOTAL","2349178","32003404","19688642","33307.7134","20491.0592","2020"
"BUS","TOTAL","2107614","29213525","18097169.5","30404.1319","18834.7257","2021"
"BUS","TOTAL","3312468","54605961","31921406","56831.4451","33222.3735","2022"
"BUS","TOTAL","4846721","82156175","47063799","85504.4773","48981.8998","2023"
"CYCLING","IN-BOUNDARY","1408709","4183871","4183871","0","0","2018"
"CYCLING","IN-BOUNDARY","1716682","4638521","4638521","0","0","2019"
"CYCLING","IN-BOUNDARY","2012403","8180785","8180785","0","0","2020"
"CYCLING","IN-BOUNDARY","1893325","8171904","8171904","0","0","2021"
"CYCLING","IN-BOUNDARY","1746830","6993737","6993737","0","0","2022"
"CYCLING","IN-BOUNDARY","1760257","6578996","6578996","0","0","2023"
"CYCLING","TOTAL","1408709","4183871","4183871","0","0","2018"
"CYCLING","TOTAL","1716682","4638521","4638521","0","0","2019"
"CYCLING","TOTAL","2012403","8180785","8180785","0","0","2020"
"CYCLING","TOTAL","1893325","8171904","8171904","0","0","2021"
"CYCLING","TOTAL","1746830","6993737","6993737","0","0","2022"
"CYCLING","TOTAL","1760257","6578996","6578996","0","0","2023"
"ON FOOT","IN-BOUNDARY","20967417","17540414","17540414","0","0","2018"
"ON FOOT","IN-BOUNDARY","22262539","18915088","18915088","0","0","2019"
"ON FOOT","IN-BOUNDARY","18004861","22706919","22706919","0","0","2020"
"ON FOOT","IN-BOUNDARY","20470339","26635364","26635364","0","0","2021"
"ON FOOT","IN-BOUNDARY","19793370","24743938","24743938","0","0","2022"
"ON FOOT","IN-BOUNDARY","20356065","24205892","24205892","0","0","2023"
"ON FOOT","TOTAL","20967417","17540414","17540414","0","0","2018"
"ON FOOT","TOTAL","22262539","18915088","18915088","0","0","2019"
"ON FOOT","TOTAL","18004861","22706919","22706919","0","0","2020"
"ON FOOT","TOTAL","20470339","26635364","26635364","0","0","2021"
"ON FOOT","TOTAL","19793370","24743938","24743938","0","0","2022"
"ON FOOT","TOTAL","20356065","24205892","24205892","0","0","2023"
"RAIL","INBOUND","1992594","100536432","50268216","0","0","2018"
"RAIL","INBOUND","881375","41973691","20986845.5","0","0","2021"
"RAIL","INBOUND","2300904","112735216","56367608","0","0","2022"
"RAIL","INBOUND","3198139","155109641","77554820.5","0","0","2023"
"RAIL","OUTBOUND","2664124","133663900","66831950","0","0","2018"
