"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","245491539","1926340969","1926340969","493649.5531","493649.5531","2018"
"AUTOMOBILE","IN-BOUNDARY","269878997","1889989323","1889989323","484334.0361","484334.0361","2019"
"AUTOMOBILE","IN-BOUNDARY","226135280","1361483196","1361483196","348897.5538","348897.5538","2020"
"AUTOMOBILE","IN-BOUNDARY","248226064","1578079625","1578079625","404403.1703","404403.1703","2021"
"AUTOMOBILE","IN-BOUNDARY","264585131","1702090934","1702090934","436182.6609","436182.6609","2022"
"AUTOMOBILE","IN-BOUNDARY","267830806","1702183855","1702183855","436206.4731","436206.4731","2023"
"AUTOMOBILE","INBOUND","52831528","2431989692","1215994846","623228.5166","311614.2583","2018"
"AUTOMOBILE","INBOUND","57702994","2652304581","1326152290.5","679687.111","339843.5555","2019"
"AUTOMOBILE","INBOUND","46236261","1890621245","945310622.5","484495.9743","242247.9871","2020"
"AUTOMOBILE","INBOUND","51793690","2230721370","1115360685","571650.999","285825.4995","2021"
"AUTOMOBILE","INBOUND","57322187","2503049590","1251524795","641438.6028","320719.3014","2022"
"AUTOMOBILE","INBOUND","58481935","2560463218","1280231609","656151.5823","328075.7911","2023"
"AUTOMOBILE","OUTBOUND","52883022","2412140396","1206070198","618141.8802","309070.9401","2018"
"AUTOMOBILE","OUTBOUND","57667940","2602716902","1301358451","666979.6314","333489.8157","2019"
"AUTOMOBILE","OUTBOUND","46172760","1880436589","940218294.5","481886.0254","240943.0127","2020"
"AUTOMOBILE","OUTBOUND","51754776","2219763140","1109881570","568842.8118","284421.4059","2021"
"AUTOMOBILE","OUTBOUND","57308506","2495818945","1247909472.5","639585.6571","319792.8286","2022"
"AUTOMOBILE","OUTBOUND","58461226","2546749245","1273374622.5","652637.2006","326318.6003","2023"
"AUTOMOBILE","TOTAL","351206089","6770471057","4348406013","1735019.9499","1114334.7515","2018"
"AUTOMOBILE","TOTAL","385249931","7145010806","4517500064.5","1831000.7786","1157667.4073","2019"
"AUTOMOBILE","TOTAL","318544301","5132541030","3247012113","1315279.5534","832088.5536","2020"
"AUTOMOBILE","TOTAL","351774530","6028564135","3803321880","1544896.9812","974650.0758","2021"
"AUTOMOBILE","TOTAL","379215824","6700959469","4201525201.5","1717206.9207","1076694.7908","2022"
"AUTOMOBILE","TOTAL","384773967","6809396318","4255790086.5","1744995.2559","1090600.8645","2023"
"BUS","IN-BOUNDARY","11456129","55474800","55474800","57735.6828","57735.6828","2018"
"BUS","IN-BOUNDARY","13107840","69350528","69350528","72176.9319","72176.9319","2019"
"BUS","IN-BOUNDARY","9008957","47544520","47544520","49482.2128","49482.2128","2020"
"BUS","IN-BOUNDARY","7354711","41767727","41767727","43469.9846","43469.9846","2021"
"BUS","IN-BOUNDARY","11230763","62333028","62333028","64873.4313","64873.4313","2022"
"BUS","IN-BOUNDARY","14687959","78447680","78447680","81644.8413","81644.8413","2023"
"BUS","INBOUND","506620","21783232","10891616","22671.0125","11335.5062","2018"
"BUS","INBOUND","709306","31179276","15589638","32449.9978","16224.9989","2019"
"BUS","INBOUND","524584","16468042","8234021","17139.2025","8569.6013","2020"
"BUS","INBOUND","398117","11502015","5751007.5","11970.7835","5985.3917","2021"
"BUS","INBOUND","670190","22630320","11315160","23552.6262","11776.3131","2022"
"BUS","INBOUND","947273","33175401","16587700.5","34527.4755","17263.7378","2023"
"BUS","OUTBOUND","547276","23042982","11521491","23982.1038","11991.0519","2018"
"BUS","OUTBOUND","773659","32980650","16490325","34324.7874","17162.3937","2019"
"BUS","OUTBOUND","553034","17131210","8565605","17829.3982","8914.6991","2020"
"BUS","OUTBOUND","423889","12181512","6090756","12677.9736","6338.9868","2021"
"BUS","OUTBOUND","711078","23615622","11807811","24578.0845","12289.0423","2022"
"BUS","OUTBOUND","1002923","34897859","17448929.5","36320.1329","18160.0664","2023"
"BUS","TOTAL","12510025","100301014","77887907","104388.7991","81062.241","2018"
"BUS","TOTAL","14590805","133510454","101430491","138951.717","105564.3245","2019"
"BUS","TOTAL","10086575","81143772","64344146","84450.8135","66966.5131","2020"
"BUS","TOTAL","8176717","65451254","53609490.5","68118.7417","55794.3632","2021"
"BUS","TOTAL","12612031","108578970","85455999","113004.1421","88938.7867","2022"
"BUS","TOTAL","16638155","146520940","112484310","152492.4497","117068.6455","2023"
"CYCLING","IN-BOUNDARY","5357216","14383462","14383462","0","0","2018"
"CYCLING","IN-BOUNDARY","5946177","15339657","15339657","0","0","2019"
"CYCLING","IN-BOUNDARY","5448427","19448372","19448372","0","0","2020"
"CYCLING","IN-BOUNDARY","5398802","20430000","20430000","0","0","2021"
"CYCLING","IN-BOUNDARY","5341687","18446693","18446693","0","0","2022"
"CYCLING","IN-BOUNDARY","5634407","17759693","17759693","0","0","2023"
"CYCLING","TOTAL","5357216","14383462","14383462","0","0","2018"
"CYCLING","TOTAL","5946177","15339657","15339657","0","0","2019"
"CYCLING","TOTAL","5448427","19448372","19448372","0","0","2020"
"CYCLING","TOTAL","5398802","20430000","20430000","0","0","2021"
"CYCLING","TOTAL","5341687","18446693","18446693","0","0","2022"
"CYCLING","TOTAL","5634407","17759693","17759693","0","0","2023"
"ON FOOT","IN-BOUNDARY","83838601","65756262","65756262","0","0","2018"
"ON FOOT","IN-BOUNDARY","87077643","68974701","68974701","0","0","2019"
"ON FOOT","IN-BOUNDARY","54660008","53845951","53845951","0","0","2020"
"ON FOOT","IN-BOUNDARY","58110056","60606318","60606318","0","0","2021"
"ON FOOT","IN-BOUNDARY","62098134","62238899","62238899","0","0","2022"
"ON FOOT","IN-BOUNDARY","65333095","62037682","62037682","0","0","2023"
"ON FOOT","TOTAL","83838601","65756262","65756262","0","0","2018"
"ON FOOT","TOTAL","87077643","68974701","68974701","0","0","2019"
"ON FOOT","TOTAL","54660008","53845951","53845951","0","0","2020"
"ON FOOT","TOTAL","58110056","60606318","60606318","0","0","2021"
"ON FOOT","TOTAL","62098134","62238899","62238899","0","0","2022"
"ON FOOT","TOTAL","65333095","62037682","62037682","0","0","2023"
"RAIL","INBOUND","624661","42771800","21385900","0","0","2018"
"RAIL","OUTBOUND","496618","31897352","15948676","0","0","2018"
"RAIL","TOTAL","1121279","74669152","37334576","0","0","2018"
