"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","129712157","818513177","818513177","209754.4882","209754.4882","2018"
"AUTOMOBILE","IN-BOUNDARY","147344622","807786373","807786373","207005.632","207005.632","2019"
"AUTOMOBILE","IN-BOUNDARY","107299203","487399928","487399928","124902.491","124902.491","2020"
"AUTOMOBILE","IN-BOUNDARY","120932216","577455609","577455609","147980.4158","147980.4158","2021"
"AUTOMOBILE","IN-BOUNDARY","140232238","669271781","669271781","171509.489","171509.489","2022"
"AUTOMOBILE","IN-BOUNDARY","147821440","700416126","700416126","179490.6274","179490.6274","2023"
"AUTOMOBILE","INBOUND","102187980","2162697887","1081348943.5","554219.0415","277109.5207","2018"
"AUTOMOBILE","INBOUND","112099637","2253216824","1126608412","577415.748","288707.874","2019"
"AUTOMOBILE","INBOUND","81053036","1418943840","709471920","363622.5817","181811.2909","2020"
"AUTOMOBILE","INBOUND","91134413","1684919524","842459762","431782.2665","215891.1333","2021"
"AUTOMOBILE","INBOUND","105448745","1972994750","986497375","505605.2428","252802.6214","2022"
"AUTOMOBILE","INBOUND","111195538","2075387166","1037693583","531844.6144","265922.3072","2023"
"AUTOMOBILE","OUTBOUND","102151763","2144944629","1072472314.5","549669.5417","274834.7708","2018"
"AUTOMOBILE","OUTBOUND","111934286","2229372181","1114686090.5","571305.252","285652.626","2019"
"AUTOMOBILE","OUTBOUND","81157207","1409696294","704848147","361252.7793","180626.3897","2020"
"AUTOMOBILE","OUTBOUND","91300462","1671703189","835851594.5","428395.411","214197.7055","2021"
"AUTOMOBILE","OUTBOUND","105621004","1959341901","979670950.5","502106.5249","251053.2625","2022"
"AUTOMOBILE","OUTBOUND","111340193","2059437417","1029718708.5","527757.2864","263878.6432","2023"
"AUTOMOBILE","TOTAL","334051900","5126155693","2972334435","1313643.0713","761698.7798","2018"
"AUTOMOBILE","TOTAL","371378545","5290375378","3049080875.5","1355726.6321","781366.132","2019"
"AUTOMOBILE","TOTAL","269509446","3316040062","1901719995","849777.852","487340.1715","2020"
"AUTOMOBILE","TOTAL","303367091","3934078322","2255766965.5","1008158.0933","578069.2545","2021"
"AUTOMOBILE","TOTAL","351301987","4601608432","2635440106.5","1179221.2567","675365.3728","2022"
"AUTOMOBILE","TOTAL","370357171","4835240709","2767828417.5","1239092.5281","709291.5777","2023"
"BUS","IN-BOUNDARY","1648466","7793024","7793024","8110.6297","8110.6297","2018"
"BUS","IN-BOUNDARY","1631318","9031679","9031679","9399.7681","9399.7681","2019"
"BUS","IN-BOUNDARY","1077677","5968424","5968424","6211.6691","6211.6691","2020"
"BUS","IN-BOUNDARY","830495","4691452","4691452","4882.6537","4882.6537","2021"
"BUS","IN-BOUNDARY","1685118","9077317","9077317","9447.2661","9447.2661","2022"
"BUS","IN-BOUNDARY","2762903","14801085","14801085","15404.3082","15404.3082","2023"
"BUS","INBOUND","2325637","28669665","14334832.5","29838.1036","14919.0518","2018"
"BUS","INBOUND","3285844","46710902","23355451","48614.6204","24307.3102","2019"
"BUS","INBOUND","1946086","22922641","11461320.5","23856.8609","11928.4304","2020"
"BUS","INBOUND","1512974","16578049","8289024.5","17253.6929","8626.8465","2021"
"BUS","INBOUND","2601398","29445518","14722759","30645.5799","15322.7899","2022"
"BUS","INBOUND","4008185","46794656","23397328","48701.7878","24350.8939","2023"
"BUS","OUTBOUND","2419836","32858780","16429390","34197.9439","17098.972","2018"
"BUS","OUTBOUND","3112612","50486405","25243202.5","52543.9953","26271.9976","2019"
"BUS","OUTBOUND","1876322","23473579","11736789.5","24430.2525","12215.1263","2020"
"BUS","OUTBOUND","1426344","16084816","8042408","16740.358","8370.179","2021"
"BUS","OUTBOUND","2584149","30323602","15161801","31559.4505","15779.7253","2022"
"BUS","OUTBOUND","4016689","48531453","24265726.5","50509.3685","25254.6843","2023"
"BUS","TOTAL","6393939","69321469","38557246.5","72146.6772","40128.6535","2018"
"BUS","TOTAL","8029774","106228986","57630332.5","110558.3837","59979.0759","2019"
"BUS","TOTAL","4900085","52364644","29166534","54498.7825","30355.2258","2020"
"BUS","TOTAL","3769813","37354317","21022884.5","38876.7046","21879.6792","2021"
"BUS","TOTAL","6870665","68846437","38961877","71652.2965","40549.7813","2022"
"BUS","TOTAL","10787777","110127194","62464139.5","114615.4645","65009.8863","2023"
"CYCLING","IN-BOUNDARY","1554865","3867278","3867278","0","0","2018"
"CYCLING","IN-BOUNDARY","1834830","4403124","4403124","0","0","2019"
"CYCLING","IN-BOUNDARY","2218850","7673603","7673603","0","0","2020"
"CYCLING","IN-BOUNDARY","2315237","8376229","8376229","0","0","2021"
"CYCLING","IN-BOUNDARY","2119267","7231574","7231574","0","0","2022"
"CYCLING","IN-BOUNDARY","2176488","7070390","7070390","0","0","2023"
"CYCLING","INBOUND","348767","2505906","1252953","0","0","2019"
"CYCLING","OUTBOUND","359334","2576387","1288193.5","0","0","2019"
"CYCLING","TOTAL","1554865","3867278","3867278","0","0","2018"
"CYCLING","TOTAL","2542931","9485417","6944270.5","0","0","2019"
"CYCLING","TOTAL","2218850","7673603","7673603","0","0","2020"
"CYCLING","TOTAL","2315237","8376229","8376229","0","0","2021"
"CYCLING","TOTAL","2119267","7231574","7231574","0","0","2022"
"CYCLING","TOTAL","2176488","7070390","7070390","0","0","2023"
"ON FOOT","IN-BOUNDARY","32012053","24358204","24358204","0","0","2018"
"ON FOOT","IN-BOUNDARY","33162841","25604318","25604318","0","0","2019"
"ON FOOT","IN-BOUNDARY","23141401","28223073","28223073","0","0","2020"
"ON FOOT","IN-BOUNDARY","27076012","34876345","34876345","0","0","2021"
"ON FOOT","IN-BOUNDARY","26279119","32017222","32017222","0","0","2022"
"ON FOOT","IN-BOUNDARY","27727978","31061589","31061589","0","0","2023"
"ON FOOT","INBOUND","2896165","4450067","2225033.5","0","0","2018"
"ON FOOT","INBOUND","2909705","5133212","2566606","0","0","2019"
"ON FOOT","INBOUND","1524940","2217817","1108908.5","0","0","2020"
"ON FOOT","INBOUND","1613388","2445558","1222779","0","0","2021"
"ON FOOT","INBOUND","2045522","2756956","1378478","0","0","2022"
"ON FOOT","INBOUND","2385665","3066131","1533065.5","0","0","2023"
"ON FOOT","OUTBOUND","2781922","4435020","2217510","0","0","2018"
"ON FOOT","OUTBOUND","2848701","5022336","2511168","0","0","2019"
"ON FOOT","OUTBOUND","1546946","2266452","1133226","0","0","2020"
"ON FOOT","OUTBOUND","1622200","2429453","1214726.5","0","0","2021"
"ON FOOT","OUTBOUND","2007170","2727775","1363887.5","0","0","2022"
"ON FOOT","OUTBOUND","2311669","2999525","1499762.5","0","0","2023"
"ON FOOT","TOTAL","37690140","33243291","28800747.5","0","0","2018"
"ON FOOT","TOTAL","38921247","35759866","30682092","0","0","2019"
"ON FOOT","TOTAL","26213287","32707342","30465207.5","0","0","2020"
"ON FOOT","TOTAL","30311600","39751356","37313850.5","0","0","2021"
"ON FOOT","TOTAL","30331811","37501953","34759587.5","0","0","2022"
"ON FOOT","TOTAL","32425312","37127245","34094417","0","0","2023"
"RAIL","INBOUND","1436197","51693874","25846937","0","0","2018"
"RAIL","INBOUND","1877145","65497359","32748679.5","0","0","2019"
"RAIL","INBOUND","999672","29573014","14786507","0","0","2023"
"RAIL","OUTBOUND","1642151","56030156","28015078","0","0","2018"
"RAIL","OUTBOUND","2000498","66475544","33237772","0","0","2019"
"RAIL","OUTBOUND","1090921","32367024","16183512","0","0","2023"
"RAIL","TOTAL","3078348","107724030","53862015","0","0","2018"
"RAIL","TOTAL","3877643","131972903","65986451.5","0","0","2019"
"RAIL","TOTAL","2090593","61940038","30970019","0","0","2023"
