"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","374357432","2835122178","2835122178","726536.381","726536.381","2018"
"AUTOMOBILE","IN-BOUNDARY","421894149","2794034817","2794034817","716007.3041","716007.3041","2019"
"AUTOMOBILE","IN-BOUNDARY","314792131","1696263191","1696263191","434689.2269","434689.2269","2020"
"AUTOMOBILE","IN-BOUNDARY","353103759","1998667729","1998667729","512184.2734","512184.2734","2021"
"AUTOMOBILE","IN-BOUNDARY","393126725","2281825294","2281825294","584747.0358","584747.0358","2022"
"AUTOMOBILE","IN-BOUNDARY","399451738","2314238937","2314238937","593053.4481","593053.4481","2023"
"AUTOMOBILE","INBOUND","185358757","5601169675","2800584837.5","1435371.49","717685.745","2018"
"AUTOMOBILE","INBOUND","202822098","5877428747","2938714373.5","1506166.5971","753083.2985","2019"
"AUTOMOBILE","INBOUND","148492038","3884076817","1942038408.5","995344.5655","497672.2827","2020"
"AUTOMOBILE","INBOUND","169321258","4700414053","2350207026.5","1204541.466","602270.733","2021"
"AUTOMOBILE","INBOUND","194881985","5561296570","2780648285","1425153.6668","712576.8334","2022"
"AUTOMOBILE","INBOUND","200696293","5774761544","2887380772","1479856.8078","739928.4039","2023"
"AUTOMOBILE","OUTBOUND","183832972","5547266356","2773633178","1421558.0739","710779.037","2018"
"AUTOMOBILE","OUTBOUND","202215537","5848972266","2924486133","1498874.2584","749437.1292","2019"
"AUTOMOBILE","OUTBOUND","148805987","3861109982","1930554991","989459.019","494729.5095","2020"
"AUTOMOBILE","OUTBOUND","169512408","4667610890","2333805445","1196135.2342","598067.6171","2021"
"AUTOMOBILE","OUTBOUND","194856410","5516767010","2758383505","1413742.3952","706871.1976","2022"
"AUTOMOBILE","OUTBOUND","200601785","5721882062","2860941031","1466305.7614","733152.8807","2023"
"AUTOMOBILE","TOTAL","743549161","13983558209","8409340193.5","3583465.9449","2155001.1629","2018"
"AUTOMOBILE","TOTAL","826931784","14520435830","8657235323.5","3721048.1596","2218527.7319","2019"
"AUTOMOBILE","TOTAL","612090156","9441449990","5568856590.5","2419492.8114","1427091.0191","2020"
"AUTOMOBILE","TOTAL","691937425","11366692672","6682680200.5","2912860.9735","1712522.6234","2021"
"AUTOMOBILE","TOTAL","782865120","13359888874","7820857084","3423643.0978","2004195.0668","2022"
"AUTOMOBILE","TOTAL","800749816","13810882543","8062560740","3539216.0174","2066134.7327","2023"
"BUS","IN-BOUNDARY","12146889","74370421","74370421","77401.404","77401.404","2018"
"BUS","IN-BOUNDARY","13008432","88755229","88755229","92372.4779","92372.4779","2019"
"BUS","IN-BOUNDARY","12546187","79583760","79583760","82827.2227","82827.2227","2020"
"BUS","IN-BOUNDARY","11313433","72925294","72925294","75897.3887","75897.3887","2021"
"BUS","IN-BOUNDARY","18503772","115052247","115052247","119741.2397","119741.2397","2022"
"BUS","IN-BOUNDARY","25797235","156409669","156409669","162784.1972","162784.1972","2023"
"BUS","INBOUND","5791901","107578878","53789439","111963.2791","55981.6395","2018"
"BUS","INBOUND","7165521","140503907","70251953.5","146230.1906","73115.0953","2019"
"BUS","INBOUND","5918462","89442135","44721067.5","93087.379","46543.6895","2020"
"BUS","INBOUND","5484705","75138610","37569305","78200.9091","39100.4545","2021"
"BUS","INBOUND","9071648","134506104","67253052","139987.9451","69993.9725","2022"
"BUS","INBOUND","12043588","182933090","91466545","190388.589","95194.2945","2023"
"BUS","OUTBOUND","5731873","110555079","55277539.5","115060.7659","57530.383","2018"
"BUS","OUTBOUND","7054975","148363885","74181942.5","154410.5046","77205.2523","2019"
"BUS","OUTBOUND","5766971","91068802","45534401","94780.3414","47390.1707","2020"
"BUS","OUTBOUND","5301907","73204957","36602478.5","76188.4494","38094.2247","2021"
"BUS","OUTBOUND","8862887","131772384","65886192","137142.8114","68571.4057","2022"
"BUS","OUTBOUND","11892032","181372335","90686167.5","188764.225","94382.1125","2023"
"BUS","TOTAL","23670663","292504378","183437399.5","304425.449","190913.4265","2018"
"BUS","TOTAL","27228928","377623021","233189125","393013.1731","242692.8255","2019"
"BUS","TOTAL","24231620","260094697","169839228.5","270694.9431","176761.0829","2020"
"BUS","TOTAL","22100045","221268861","147097077.5","230286.7472","153092.0679","2021"
"BUS","TOTAL","36438307","381330735","248191491","396871.9962","258306.6179","2022"
"BUS","TOTAL","49732855","520715094","338562381.5","541937.0112","352360.6042","2023"
"CYCLING","IN-BOUNDARY","4114555","11288823","11288823","0","0","2018"
"CYCLING","IN-BOUNDARY","4856627","12377916","12377916","0","0","2019"
"CYCLING","IN-BOUNDARY","5766821","20126978","20126978","0","0","2020"
"CYCLING","IN-BOUNDARY","6071488","21882143","21882143","0","0","2021"
"CYCLING","IN-BOUNDARY","5726078","19083367","19083367","0","0","2022"
"CYCLING","IN-BOUNDARY","5924924","18221393","18221393","0","0","2023"
"CYCLING","INBOUND","396471","4396232","2198116","0","0","2019"
"CYCLING","INBOUND","441678","4944315","2472157.5","0","0","2022"
"CYCLING","OUTBOUND","409884","4584852","2292426","0","0","2019"
"CYCLING","OUTBOUND","448674","5084207","2542103.5","0","0","2022"
"CYCLING","TOTAL","4114555","11288823","11288823","0","0","2018"
"CYCLING","TOTAL","5662982","21359000","16868458","0","0","2019"
"CYCLING","TOTAL","5766821","20126978","20126978","0","0","2020"
"CYCLING","TOTAL","6071488","21882143","21882143","0","0","2021"
"CYCLING","TOTAL","6616430","29111889","24097628","0","0","2022"
"CYCLING","TOTAL","5924924","18221393","18221393","0","0","2023"
"ON FOOT","IN-BOUNDARY","109283246","83481693","83481693","0","0","2018"
"ON FOOT","IN-BOUNDARY","112238667","87567067","87567067","0","0","2019"
"ON FOOT","IN-BOUNDARY","71813801","80614468","80614468","0","0","2020"
"ON FOOT","IN-BOUNDARY","80680200","94859763","94859763","0","0","2021"
"ON FOOT","IN-BOUNDARY","88106940","97317241","97317241","0","0","2022"
"ON FOOT","IN-BOUNDARY","96771538","99068721","99068721","0","0","2023"
"ON FOOT","INBOUND","1750508","5145138","2572569","0","0","2018"
"ON FOOT","INBOUND","704702","1837849","918924.5","0","0","2020"
"ON FOOT","INBOUND","753382","1981447","990723.5","0","0","2021"
