"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","89350108","549895637","549895637","140917.8021","140917.8021","2018"
"AUTOMOBILE","IN-BOUNDARY","99262597","540413274","540413274","138487.8417","138487.8417","2019"
"AUTOMOBILE","IN-BOUNDARY","77683089","349209673","349209673","89489.4634","89489.4634","2020"
"AUTOMOBILE","IN-BOUNDARY","86092064","406613344","406613344","104199.8913","104199.8913","2021"
"AUTOMOBILE","IN-BOUNDARY","95841935","452877799","452877799","116055.7521","116055.7521","2022"
"AUTOMOBILE","IN-BOUNDARY","98859380","463307587","463307587","118728.5192","118728.5192","2023"
"AUTOMOBILE","INBOUND","60109121","1711107642","855553821","438493.2555","219246.6278","2018"
"AUTOMOBILE","INBOUND","66020723","1811097808","905548904","464117.0723","232058.5361","2019"
"AUTOMOBILE","INBOUND","50930804","1261299928","630649964","323224.3047","161612.1524","2020"
"AUTOMOBILE","INBOUND","56779578","1484580430","742290215","380442.8009","190221.4004","2021"
"AUTOMOBILE","INBOUND","64224407","1684318429","842159214.5","431628.2282","215814.1141","2022"
"AUTOMOBILE","INBOUND","67234148","1756281005","878140502.5","450069.5625","225034.7813","2023"
"AUTOMOBILE","OUTBOUND","59823069","1691702609","845851304.5","433520.4672","216760.2336","2018"
"AUTOMOBILE","OUTBOUND","65671756","1785977222","892988611","457679.5995","228839.7997","2019"
"AUTOMOBILE","OUTBOUND","51015754","1252286621","626143310.5","320914.5291","160457.2645","2020"
"AUTOMOBILE","OUTBOUND","56715537","1470224892","735112446","376764.0099","188382.0049","2021"
"AUTOMOBILE","OUTBOUND","64234838","1672920759","836460379.5","428707.4289","214353.7145","2022"
"AUTOMOBILE","OUTBOUND","67150336","1737786392","868893196","445330.0804","222665.0402","2023"
"AUTOMOBILE","TOTAL","209282298","3952705888","2251300762.5","1012931.5249","576924.6635","2018"
"AUTOMOBILE","TOTAL","230955076","4137488304","2338950789","1060284.5134","599386.1776","2019"
"AUTOMOBILE","TOTAL","179629647","2862796222","1606002947.5","733628.2972","411558.8803","2020"
"AUTOMOBILE","TOTAL","199587179","3361418666","1884016005","861406.7021","482803.2967","2021"
"AUTOMOBILE","TOTAL","224301180","3810116987","2131497393","976391.4092","546223.5806","2022"
"AUTOMOBILE","TOTAL","233243864","3957374984","2210341285.5","1014128.1621","566428.3406","2023"
"BUS","IN-BOUNDARY","1006930","5539535","5539535","5765.2995","5765.2995","2018"
"BUS","IN-BOUNDARY","1077292","6211580","6211580","6464.735","6464.735","2019"
"BUS","IN-BOUNDARY","953000","5512130","5512130","5736.7787","5736.7787","2020"
"BUS","IN-BOUNDARY","715913","4441515","4441515","4622.5304","4622.5304","2021"
"BUS","IN-BOUNDARY","1345543","7153883","7153883","7445.4419","7445.4419","2022"
"BUS","IN-BOUNDARY","2238035","11097196","11097196","11549.4659","11549.4659","2023"
"BUS","INBOUND","352082","7451798","3725899","7755.4977","3877.7488","2018"
"BUS","INBOUND","474105","10561000","5280500","10991.4171","5495.7085","2019"
"BUS","OUTBOUND","375630","9084748","4542374","9454.9989","4727.4995","2018"
"BUS","OUTBOUND","487438","12549066","6274533","13060.5074","6530.2537","2019"
"BUS","TOTAL","1734642","22076081","13807808","22975.7961","14370.5478","2018"
"BUS","TOTAL","2038835","29321646","17766613","30516.6595","18490.6972","2019"
"BUS","TOTAL","953000","5512130","5512130","5736.7787","5736.7787","2020"
"BUS","TOTAL","715913","4441515","4441515","4622.5304","4622.5304","2021"
"BUS","TOTAL","1345543","7153883","7153883","7445.4419","7445.4419","2022"
"BUS","TOTAL","2238035","11097196","11097196","11549.4659","11549.4659","2023"
"CYCLING","IN-BOUNDARY","1618952","4637448","4637448","0","0","2018"
"CYCLING","IN-BOUNDARY","1867455","4825020","4825020","0","0","2019"
"CYCLING","IN-BOUNDARY","2281340","8831616","8831616","0","0","2020"
"CYCLING","IN-BOUNDARY","2203086","8752740","8752740","0","0","2021"
"CYCLING","IN-BOUNDARY","1956174","6966296","6966296","0","0","2022"
"CYCLING","IN-BOUNDARY","1882985","6112767","6112767","0","0","2023"
"CYCLING","TOTAL","1618952","4637448","4637448","0","0","2018"
"CYCLING","TOTAL","1867455","4825020","4825020","0","0","2019"
"CYCLING","TOTAL","2281340","8831616","8831616","0","0","2020"
"CYCLING","TOTAL","2203086","8752740","8752740","0","0","2021"
"CYCLING","TOTAL","1956174","6966296","6966296","0","0","2022"
"CYCLING","TOTAL","1882985","6112767","6112767","0","0","2023"
"ON FOOT","IN-BOUNDARY","24204739","19936180","19936180","0","0","2018"
"ON FOOT","IN-BOUNDARY","24971949","20908064","20908064","0","0","2019"
"ON FOOT","IN-BOUNDARY","20459661","26411991","26411991","0","0","2020"
"ON FOOT","IN-BOUNDARY","23183754","31021177","31021177","0","0","2021"
"ON FOOT","IN-BOUNDARY","21855282","28126710","28126710","0","0","2022"
"ON FOOT","IN-BOUNDARY","22717217","26995459","26995459","0","0","2023"
"ON FOOT","INBOUND","473796","981030","490515","0","0","2018"
"ON FOOT","INBOUND","531026","1450364","725182","0","0","2019"
"ON FOOT","OUTBOUND","481577","1002899","501449.5","0","0","2018"
"ON FOOT","OUTBOUND","529844","1456044","728022","0","0","2019"
