"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","69742073","400473253","400473253","102626.4018","102626.4018","2018"
"AUTOMOBILE","IN-BOUNDARY","79027025","388491249","388491249","99555.8717","99555.8717","2019"
"AUTOMOBILE","IN-BOUNDARY","60586492","249147290","249147290","63847.1927","63847.1927","2020"
"AUTOMOBILE","IN-BOUNDARY","66753134","287062212","287062212","73563.3784","73563.3784","2021"
"AUTOMOBILE","IN-BOUNDARY","76002621","323846390","323846390","82989.7964","82989.7964","2022"
"AUTOMOBILE","IN-BOUNDARY","79306832","335376401","335376401","85944.5098","85944.5098","2023"
"AUTOMOBILE","INBOUND","64083120","1343284740","671642370","344233.9244","172116.9622","2018"
"AUTOMOBILE","INBOUND","70411569","1405216480","702608240","360104.7694","180052.3847","2019"
"AUTOMOBILE","INBOUND","52216629","943166152","471583076","241698.439","120849.2195","2020"
"AUTOMOBILE","INBOUND","59151840","1121572823","560786411.5","287417.4396","143708.7198","2021"
"AUTOMOBILE","INBOUND","68781211","1301130271","650565135.5","333431.3417","166715.6708","2022"
"AUTOMOBILE","INBOUND","72349104","1360253331","680126665.5","348582.3851","174291.1925","2023"
"AUTOMOBILE","OUTBOUND","63810065","1326288812","663144406","339878.5002","169939.2501","2018"
"AUTOMOBILE","OUTBOUND","69913692","1382632334","691316167","354317.292","177158.646","2019"
"AUTOMOBILE","OUTBOUND","52244849","933356657","466678328.5","239184.63","119592.315","2020"
"AUTOMOBILE","OUTBOUND","59214186","1109140836","554570418","284231.5833","142115.7917","2021"
"AUTOMOBILE","OUTBOUND","68717726","1282312263","641156131.5","328608.9854","164304.4927","2022"
"AUTOMOBILE","OUTBOUND","72382687","1344297889","672148944.5","344493.5981","172246.7991","2023"
"AUTOMOBILE","TOTAL","197635258","3070046805","1735260029","786738.8264","444682.6141","2018"
"AUTOMOBILE","TOTAL","219352286","3176340063","1782415656","813977.9332","456766.9025","2019"
"AUTOMOBILE","TOTAL","165047970","2125670099","1187408694.5","544730.2617","304288.7272","2020"
"AUTOMOBILE","TOTAL","185119160","2517775871","1402419041.5","645212.4014","359387.8899","2021"
"AUTOMOBILE","TOTAL","213501558","2907288924","1615567657","745030.1235","414009.96","2022"
"AUTOMOBILE","TOTAL","224038623","3039927621","1687652011","779020.493","432482.5014","2023"
"BUS","IN-BOUNDARY","1256135","4824345","4824345","5020.9612","5020.9612","2018"
"BUS","IN-BOUNDARY","1260821","5760296","5760296","5995.0588","5995.0588","2019"
"BUS","IN-BOUNDARY","855449","4086581","4086581","4253.131","4253.131","2020"
"BUS","IN-BOUNDARY","596214","2962654","2962654","3083.398","3083.398","2021"
"BUS","IN-BOUNDARY","1164672","5319202","5319202","5535.9879","5535.9879","2022"
"BUS","IN-BOUNDARY","1788891","8227247","8227247","8562.5512","8562.5512","2023"
"BUS","INBOUND","1887125","25609551","12804775.5","26653.2739","13326.637","2018"
"BUS","INBOUND","2128723","33148212","16574106","34499.1784","17249.5892","2019"
"BUS","INBOUND","1256796","16867994","8433997","17555.4547","8777.7274","2020"
"BUS","INBOUND","1073832","13648745","6824372.5","14205.0042","7102.5021","2021"
"BUS","INBOUND","1902611","25217327","12608663.5","26245.0676","13122.5338","2022"
"BUS","INBOUND","2786032","37399776","18699888","38924.0163","19462.0082","2023"
"BUS","OUTBOUND","1734401","25473172","12736586","26511.3368","13255.6684","2018"
"BUS","OUTBOUND","2006043","33827379","16913689.5","35206.0251","17603.0126","2019"
"BUS","OUTBOUND","1208058","17139143","8569571.5","17837.6545","8918.8272","2020"
"BUS","OUTBOUND","1032675","13409965","6704982.5","13956.4926","6978.2463","2021"
"BUS","OUTBOUND","1854105","25393844","12696922","26428.7786","13214.3893","2022"
"BUS","OUTBOUND","2744207","38017527","19008763.5","39566.944","19783.472","2023"
"BUS","TOTAL","4877661","55907068","30365706.5","58185.5719","31603.2665","2018"
"BUS","TOTAL","5395587","72735887","39248091.5","75700.2623","40847.6605","2019"
"BUS","TOTAL","3320303","38093718","21090149.5","39646.2402","21949.6856","2020"
"BUS","TOTAL","2702721","30021364","16492009","31244.8947","17164.1463","2021"
"BUS","TOTAL","4921388","55930373","30624787.5","58209.834","31872.9109","2022"
