"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","1037791288","8825483387","8825483387","2261643.1878","2261643.1878","2018"
"AUTOMOBILE","IN-BOUNDARY","1138639468","8639980557","8639980557","2214105.9763","2214105.9763","2019"
"AUTOMOBILE","IN-BOUNDARY","914706226","5843905128","5843905128","1497575.7392","1497575.7392","2020"
"AUTOMOBILE","IN-BOUNDARY","1020764117","6894114144","6894114144","1766705.2868","1766705.2868","2021"
"AUTOMOBILE","IN-BOUNDARY","1060689823","7285183627","7285183627","1866921.8641","1866921.8641","2022"
"AUTOMOBILE","IN-BOUNDARY","1055855811","7154939283","7154939283","1833545.0783","1833545.0783","2023"
"AUTOMOBILE","INBOUND","269599877","9091303787","4545651893.5","2329763.0709","1164881.5355","2018"
"AUTOMOBILE","INBOUND","285267559","9171707679","4585853839.5","2350367.88","1175183.94","2019"
"AUTOMOBILE","INBOUND","218867702","6366851125","3183425562.5","1631587.3668","815793.6834","2020"
"AUTOMOBILE","INBOUND","249215236","7674296973","3837148486.5","1966637.1562","983318.5781","2021"
"AUTOMOBILE","INBOUND","273270086","8580579414","4290289707","2198883.6706","1099441.8353","2022"
"AUTOMOBILE","INBOUND","275819376","8673146306","4336573153","2222605.1255","1111302.5627","2023"
"AUTOMOBILE","OUTBOUND","273520153","9117778489","4558889244.5","2336547.5525","1168273.7762","2018"
"AUTOMOBILE","OUTBOUND","289326863","9199804111","4599902055.5","2357567.9516","1178783.9758","2019"
"AUTOMOBILE","OUTBOUND","218899510","6296147063","3148073531.5","1613468.5429","806734.2715","2020"
"AUTOMOBILE","OUTBOUND","248776625","7546314824","3773157412","1933840.0869","966920.0435","2021"
"AUTOMOBILE","OUTBOUND","273392240","8424412202","4212206101","2158863.8169","1079431.9085","2022"
"AUTOMOBILE","OUTBOUND","275877060","8513413613","4256706806.5","2181671.5715","1090835.7858","2023"
"AUTOMOBILE","TOTAL","1580911318","27034565663","17930024525","6927953.8112","4594798.4995","2018"
"AUTOMOBILE","TOTAL","1713233890","27011492347","17825736452","6922041.808","4568073.8921","2019"
"AUTOMOBILE","TOTAL","1352473438","18506903316","12175404222","4742631.6489","3120103.694","2020"
"AUTOMOBILE","TOTAL","1518755978","22114725941","14504420042.5","5667182.5299","3716943.9083","2021"
"AUTOMOBILE","TOTAL","1607352149","24290175243","15787679435","6224669.3516","4045795.6079","2022"
"AUTOMOBILE","TOTAL","1607552247","24341499202","15748219242.5","6237821.7753","4035683.4268","2023"
"BUS","IN-BOUNDARY","128687078","758927971","758927971","789858.1813","789858.1813","2018"
"BUS","IN-BOUNDARY","141762882","970089269","970089269","1009625.5805","1009625.5805","2019"
"BUS","IN-BOUNDARY","90074767","572921964","572921964","596271.5896","596271.5896","2020"
"BUS","IN-BOUNDARY","82976391","494787050","494787050","514952.2611","514952.2611","2021"
"BUS","IN-BOUNDARY","132782637","756351837","756351837","787177.2082","787177.2082","2022"
"BUS","IN-BOUNDARY","162446415","935849151","935849151","973989.995","973989.995","2023"
"BUS","INBOUND","8638355","220011809","110005904.5","228978.4195","114489.2098","2018"
"BUS","INBOUND","11189752","303613827","151806913.5","315987.7097","157993.8549","2019"
"BUS","INBOUND","7194801","140808684","70404342","146547.3888","73273.6944","2020"
"BUS","INBOUND","5622184","90730495","45365247.5","94428.2466","47214.1233","2021"
"BUS","INBOUND","9607297","175531624","87765812","182685.4738","91342.7369","2022"
"BUS","INBOUND","13386263","249729216","124864608","259907.0134","129953.5067","2023"
"BUS","OUTBOUND","8788465","213219210","106609605","221909.0062","110954.5031","2018"
"BUS","OUTBOUND","11376387","284881117","142440558.5","296491.5419","148245.7709","2019"
"BUS","OUTBOUND","7484402","136087507","68043753.5","141633.7987","70816.8994","2020"
"BUS","OUTBOUND","5900914","89587572","44793786","93238.7434","46619.3717","2021"
"BUS","OUTBOUND","9740457","167020265","83510132.5","173827.2316","86913.6158","2022"
"BUS","OUTBOUND","13393135","234278131","117139065.5","243826.2143","121913.1072","2023"
"BUS","TOTAL","146113898","1192158990","975543480.5","1240745.607","1015301.8942","2018"
"BUS","TOTAL","164329021","1558584213","1264336741","1622104.832","1315865.2062","2019"
"BUS","TOTAL","104753970","849818155","711370059.5","884452.7771","740362.1833","2020"
"BUS","TOTAL","94499489","675105117","584946083.5","702619.251","608785.7561","2021"
"BUS","TOTAL","152130391","1098903726","927627781.5","1143689.9136","965433.5609","2022"
"BUS","TOTAL","189225813","1419856498","1177852824.5","1477723.2228","1225856.6089","2023"
"CYCLING","IN-BOUNDARY","53348701","161210758","161210758","0","0","2018"
