"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","155717610","970359367","970359367","248667.0198","248667.0198","2018"
"AUTOMOBILE","IN-BOUNDARY","174736305","953349912","953349912","244308.1583","244308.1583","2019"
"AUTOMOBILE","IN-BOUNDARY","138583717","633179993","633179993","162260.5048","162260.5048","2020"
"AUTOMOBILE","IN-BOUNDARY","156613469","755219876","755219876","193534.7921","193534.7921","2021"
"AUTOMOBILE","IN-BOUNDARY","173317872","842547395","842547395","215913.5904","215913.5904","2022"
"AUTOMOBILE","IN-BOUNDARY","174542102","842696105","842696105","215951.6992","215951.6992","2023"
"AUTOMOBILE","INBOUND","129199754","3261419564","1630709782","835780.5478","417890.2739","2018"
"AUTOMOBILE","INBOUND","140912809","3441606541","1720803270.5","881955.8748","440977.9374","2019"
"AUTOMOBILE","INBOUND","111833274","2446622460","1223311230","626978.426","313489.213","2020"
"AUTOMOBILE","INBOUND","127992336","3013161496","1506580748","772161.3298","386080.6649","2021"
"AUTOMOBILE","INBOUND","143244014","3429941721","1714970860.5","878966.6149","439483.3074","2022"
"AUTOMOBILE","INBOUND","144211848","3452914883","1726457441.5","884853.7827","442426.8913","2023"
"AUTOMOBILE","OUTBOUND","129084187","3271437790","1635718895","838347.8465","419173.9233","2018"
"AUTOMOBILE","OUTBOUND","141448797","3480709859","1740354929.5","891976.6022","445988.3011","2019"
"AUTOMOBILE","OUTBOUND","112211756","2467665987","1233832993.5","632371.1001","316185.55","2020"
"AUTOMOBILE","OUTBOUND","128024966","3027454411","1513727205.5","775824.0728","387912.0364","2021"
"AUTOMOBILE","OUTBOUND","143112466","3439125684","1719562842","881320.1234","440660.0617","2022"
"AUTOMOBILE","OUTBOUND","144070210","3467248876","1733624438","888527.0525","444263.5262","2023"
"AUTOMOBILE","TOTAL","414001551","7503216721","4236788044","1922795.4141","1085731.2169","2018"
"AUTOMOBILE","TOTAL","457097911","7875666312","4414508112","2018240.6354","1131274.3968","2019"
"AUTOMOBILE","TOTAL","362628747","5547468440","3090324216.5","1421610.0309","791935.2678","2020"
"AUTOMOBILE","TOTAL","412630771","6795835783","3775527829.5","1741520.1946","967527.4934","2021"
"AUTOMOBILE","TOTAL","459674352","7711614800","4277081097.5","1976200.3286","1096056.9595","2022"
"AUTOMOBILE","TOTAL","462824160","7762859864","4302777984.5","1989332.5344","1102642.1168","2023"
"BUS","IN-BOUNDARY","2248815","11402718","11402718","11867.4373","11867.4373","2018"
"BUS","IN-BOUNDARY","2538891","14969045","14969045","15579.1134","15579.1134","2019"
"BUS","IN-BOUNDARY","2362808","12852863","12852863","13376.6857","13376.6857","2020"
"BUS","IN-BOUNDARY","2388462","13185028","13185028","13722.3882","13722.3882","2021"
"BUS","IN-BOUNDARY","4187382","22841386","22841386","23772.2943","23772.2943","2022"
"BUS","IN-BOUNDARY","5880350","30883114","30883114","32141.7656","32141.7656","2023"
"BUS","INBOUND","2928709","34276644","17138322","35673.5962","17836.7981","2018"
"BUS","INBOUND","3342369","39159581","19579790.5","40755.5428","20377.7714","2020"
"BUS","INBOUND","2970072","34665939","17332969.5","36078.7609","18039.3804","2021"
"BUS","INBOUND","4961260","60873206","30436603","63354.1138","31677.0569","2022"
"BUS","INBOUND","6734024","86454528","43227264","89978.0111","44989.0056","2023"
"BUS","OUTBOUND","2467082","30147323","15073661.5","31375.9812","15687.9906","2018"
"BUS","OUTBOUND","3223082","40590662","20295331","42244.948","21122.474","2020"
"BUS","OUTBOUND","2818817","33807325","16903662.5","35185.1538","17592.5769","2021"
"BUS","OUTBOUND","4757432","59705322","29852661","62138.6323","31069.3161","2022"
"BUS","OUTBOUND","6536685","85541717","42770858.5","89027.9982","44513.9991","2023"
"BUS","TOTAL","7644606","75826685","43614701.5","78917.0147","45392.226","2018"
"BUS","TOTAL","2538891","14969045","14969045","15579.1134","15579.1134","2019"
"BUS","TOTAL","8928259","92603106","52727984.5","96377.1764","54876.9311","2020"
"BUS","TOTAL","8177351","81658292","47421660","84986.3029","49354.3456","2021"
"BUS","TOTAL","13906074","143419914","83130650","149265.0404","86518.6673","2022"
"BUS","TOTAL","19151059","202879359","116881236.5","211147.7749","121644.7702","2023"
"CYCLING","IN-BOUNDARY","1941914","4791628","4791628","0","0","2018"
"CYCLING","IN-BOUNDARY","2212081","5276252","5276252","0","0","2019"
"CYCLING","IN-BOUNDARY","2576564","8226268","8226268","0","0","2020"
"CYCLING","IN-BOUNDARY","2434181","8174091","8174091","0","0","2021"
"CYCLING","IN-BOUNDARY","2308050","7377653","7377653","0","0","2022"
"CYCLING","IN-BOUNDARY","2456316","7333603","7333603","0","0","2023"
"CYCLING","INBOUND","386051","3001094","1500547","0","0","2019"
"CYCLING","INBOUND","439235","3172137","1586068.5","0","0","2022"
"CYCLING","OUTBOUND","390927","3089388","1544694","0","0","2019"
"CYCLING","TOTAL","1941914","4791628","4791628","0","0","2018"
"CYCLING","TOTAL","2989059","11366734","8321493","0","0","2019"
"CYCLING","TOTAL","2576564","8226268","8226268","0","0","2020"
"CYCLING","TOTAL","2434181","8174091","8174091","0","0","2021"
"CYCLING","TOTAL","2747285","10549790","8963721.5","0","0","2022"
"CYCLING","TOTAL","2456316","7333603","7333603","0","0","2023"
"ON FOOT","IN-BOUNDARY","39450780","31473252","31473252","0","0","2018"
"ON FOOT","IN-BOUNDARY","40228714","32506935","32506935","0","0","2019"
"ON FOOT","IN-BOUNDARY","28130674","35123806","35123806","0","0","2020"
"ON FOOT","IN-BOUNDARY","32661345","41892662","41892662","0","0","2021"
"ON FOOT","IN-BOUNDARY","33000327","39386659","39386659","0","0","2022"
"ON FOOT","IN-BOUNDARY","34668769","38541125","38541125","0","0","2023"
"ON FOOT","INBOUND","3624447","5791050","2895525","0","0","2018"
"ON FOOT","INBOUND","3764306","6924572","3462286","0","0","2019"
"ON FOOT","INBOUND","2105155","3135056","1567528","0","0","2020"
"ON FOOT","INBOUND","2235860","3311234","1655617","0","0","2021"
"ON FOOT","INBOUND","2861133","3936773","1968386.5","0","0","2022"
"ON FOOT","INBOUND","3065887","4061404","2030702","0","0","2023"
"ON FOOT","OUTBOUND","3710718","5925930","2962965","0","0","2018"
"ON FOOT","OUTBOUND","3630143","6262006","3131003","0","0","2019"
