ADDRESSNUM,ADDRESSSTR,ASSETTYPE,SIDE,WARD,Lon,Lat
1430,Kingston Rd,Post & Ring,North,36,-79.27163601,43.68742551709843
1484,Kingston Rd,Post & Ring,North,36,-79.2696619,43.68872888432796
1228,Kingston Rd,Post & Ring,North,36,-79.27863121,43.68261522624766
2491A,Queen St E,Post & Ring,South,32,-79.28193569,43.67373845129359
3312,Danforth Ave,Post & Ring,North,35,-79.27923203,43.693321476446926
673,Warden Ave,Post & Ring,East,35,-79.27811623,43.70545291649415
1476,Kingston Rd,Post & Ring,North,36,-79.26983356,43.68860476
3306,Danforth Ave,Post & Ring,North,35,-79.27974701,43.69322838685548
3315,Danforth Ave,Post & Ring,South,35,-79.28249359,43.69242160434331
3244A,Danforth Ave,Post & Ring,North,35,-79.28206444,43.69270087644111
1458,Kingston Rd,Post & Ring,North,36,-79.27043438,43.688201334337265
1859,Kingston Rd,Post & Ring,South,36,-79.25906181,43.69536941090081
2422,Kingston Rd,Rack,West,36,-79.25017834,43.70864825821471
673,Warden Ave,Post & Ring,East,35,-79.27811623,43.705390869337975
673,Warden Ave,Post & Ring,East,35,-79.27807331,43.70529779848334
1430,Kingston Rd,Post & Ring,North,36,-79.27155018,43.68745654998065
2326,Queen St E,Post & Ring,North,32,-79.28270817,43.673707411315036
3272,Danforth Ave,Post & Ring,North,35,-79.28069115,43.69301118
3272,Danforth Ave,Post & Ring,North,35,-79.28064823,43.69301118
673,Warden Ave,Post & Ring,East,35,-79.27807331,43.70532882211765
3334,Danforth Ave,Post & Ring,North,35,-79.2780304,43.693631774041506
3339,Danforth Ave,Post & Ring,South,35,-79.28077698,43.69282499695606
1232,Kingston Rd,Post & Ring,North,36,-79.27858829,43.68264626161843
673,Warden Ave,Post & Ring,East,35,-79.27815914,43.70548394004817
1472,Kingston Rd,Post & Ring,North,36,-79.26996231,43.688511658423124
673,Warden Ave,Post & Ring,East,35,-79.27811623,43.70535984573581
1234,Kingston Rd,Post & Ring,North,36,-79.27850246,43.68270833231182
3334,Danforth Ave,Post & Ring,North,35,-79.27807331,43.693600744354285
1577,Kingston Rd,Post & Ring,East,36,-79.26708698,43.69003222323596
3334,Danforth Ave,Post & Ring,North,35,-79.2780304,43.693600744354285
1859,Kingston Rd,Post & Ring,South,36,-79.25906181,43.69533838211271
2491A,Queen St E,Post & Ring,South,32,-79.28189278,43.67373845129359
2326,Queen St E,Post & Ring,North,32,-79.28275108,43.673707411315036
1486,Kingston Rd,Post & Ring,North,36,-79.26957607,43.688759916535844
129,College St,Post & Ring,South,20,-79.3910265,43.65964465010512
965,Bloor St W,Post & Ring,South,19,-79.42870617,43.66122803945328
55,University Ave,Post & Ring,East,28,-79.38407421,43.64672760105893
1502,Dupont St,Post & Ring,North,18,-79.45097923,43.66585378
48,Oxford St,Post & Ring,North,20,-79.40149784,43.656384599372586
260,Richmond St W,Post & Ring,North,20,-79.38952446,43.64946028543753
1355,King St W,Rack,South,14,-79.43304062,43.63765916675675
38,Elm St,Post & Ring,North,27,-79.38325882,43.65759549602106
389,Queen St W,Post & Ring,South,20,-79.3941164,43.649087653979365
1216,Danforth Ave,Post & Ring,North,29,-79.33163166,43.68171519351142
966,Queen St W,Post & Ring,North,19,-79.41716194,43.64458484112279
1333,Dundas St W,Post & Ring,South,18,-79.42664623,43.64942923290431
239,College St,Post & Ring,West,20,-79.39815044,43.658061218999165
800,King St W,Post & Ring,North,19,-79.40716267,43.64306312461076
869,Yonge St,Rack,East,27,-79.38802242,43.673707411315036
20,John St,Rack,West,20,-79.38896656,43.644522730999284
372,Oakwood Ave,Post & Ring,West,15,-79.43887711,43.687394484200155
870,St Clair Ave W,Post & Ring,North,21,-79.43222523,43.680442710397045
1552,Eglinton Ave W,Post & Ring,North,15,-79.44196701,43.69757241381862
410,Eglinton Ave W,Post & Ring,North,16,-79.4108963,43.704180936956504
280,Rushton Rd,Post & Ring,North,21,-79.42797661,43.681342762222755
129,Danforth Ave,Post & Ring,South,30,-79.35772419,43.676314713545906
170,Mill St,Post & Ring,West,28,-79.35544968,43.65200653852864
2708,Danforth Ave,Rack,North,31,-79.29820061,43.689039205684395
299,Front St W,Post & Ring,South,20,-79.38922405,43.64377740450843
184-200,College St,Post & Ring,North,20,-79.39506054,43.65893055889356
530,Queen St E,Post & Ring,North,28,-79.35785294,43.65712976943067
154,Wellesley St E,Post & Ring,West,27,-79.37600613,43.666691964340515
20,St George St,Post & Ring,West,20,-79.39660549,43.65914789190046
222,Jarvis St,Post & Ring,West,27,-79.3751049,43.65821645918916
296,Queen St W,Post & Ring,North,20,-79.39317226,43.649522390455786
1006,Queen St W,Post & Ring,North,19,-79.41922188,43.64418112417215
213,Delaware Ave,Rack,East,19,-79.42814827,43.66194210334004
138,Oakwood Ave,Post & Ring,West,17,-79.4357872,43.679170200294095
97,Yorkville Ave,Post & Ring,South,27,-79.3918848,43.670944788924345
406,Roncesvalles Ave,Post & Ring,West,14,-79.45106506,43.65132340805124
2198,Yonge St,Post & Ring,West,22,-79.39823627,43.705856221443696
128,Strachan Ave,Post & Ring,West,19,-79.41235542,43.64296995704149
737,Dovercourt Rd,Post & Ring,South,19,-79.42900658,43.661165946540024
186,St George St,Post & Ring,West,20,-79.40059662,43.66914435982358
1514,Queen St W,Post & Ring,North,14,-79.4385767,43.64026803468073
141,Augusta Ave,Post & Ring,North,20,-79.40098286,43.65234810085349
27,Front St E,Post & Ring,East,28,-79.37574863,43.64765921197332
205,Yonge St,Post & Ring,East,27,-79.37961102,43.653528028483635
235,Bloor St W,Post & Ring,South,20,-79.39566135,43.668275167824305
6,Edward St,Post & Ring,North,27,-79.3817997,43.656943477783074
441,Queens Quay W,Post & Ring,South,20,-79.3924427,43.63741069723707
305,Kingston Rd,Post & Ring,South,32,-79.30747032,43.67417300930754
1425,Queen St W,Post & Ring,South,14,-79.436903,43.64045437805501
119,Spadina Ave,Post & Ring,East,20,-79.39544678,43.64700708585036
679,Queens Quay W,Post & Ring,South,20,-79.39986706,43.63480170524838
32,McMurrich St,Post & Ring,West,27,-79.3899107,43.673831571132894
510,Queens Quay W,Post & Ring,North,20,-79.39518929,43.637255403265556
1140,Bloor St W,Post & Ring,North,18,-79.4357872,43.65983093337226
367,Sorauren Ave,Post & Ring,East,14,-79.44471359,43.649708705125306
332,Queen St E,Post & Ring,North,28,-79.36497688,43.65554627200379
246,Carlton St,Post & Ring,North,28,-79.36841011,43.66423947
82,Queens Quay W,Post & Ring,North,28,-79.37819481,43.64079600607349
146,Spadina Ave,Post & Ring,West,20,-79.396348,43.64809395878868
80,Grosvenor St,Post & Ring,North,27,-79.38926697,43.66191105726068
468,Huron St,Post & Ring,North,20,-79.40209866,43.667126573376606
554,Roxton Rd,Post & Ring,South,19,-79.4245863,43.66212837947896
1260,Dufferin St,Post & Ring,West,18,-79.43866253,43.66743700647581
1359,Davenport Rd,Post & Ring,South,17,-79.44007874,43.67308661
