,url,title,comments_from_registry,comments_by_email,comments_by_mail,page_file
001-0022,/notice/001-0022,"Justin David Murray (Forester Septic Tank Pumping)
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-383.json
010-0002,/notice/010-0002,"Development of the St. Raphael Signature Site Strategy, and the associated St. Raphael Provincial Park Management Plan and the Miniss Enhanced Management Area Resource Management Plan",0,0,0,notice-311.json
010-0511,/notice/010-0511,"Ministry of Natural Resources
      
         - Designation of a zone",0,11,0,notice-114.json
010-0887,/notice/010-0887,Proposed Regulation to exempt containers under the Deposit Return Program from Waste Diversion Ontario’s Blue Box Program Plan,2,0,1,notice-220.json
010-1490,/notice/010-1490,"Rushing River Provincial Park, Eagle-Dogtooth Provincial Park and Winnange Lake Provincial Park Management Plans",3,0,0,notice-311.json
010-2404,/notice/010-2404,"Graham Bros. Aggregates Limited
      
         - Changes to the site plan for a pit or quarry",4,0,0,notice-228.json
010-3799,/notice/010-3799,Notice of Amendment to the Ministry of Public Infrastructure Renewal Class Environmental Assessment Document,0,0,0,notice-200.json
010-5477,/notice/010-5477,"Niagara Escarpment Commission
      
         - Approval of an amendment to the Niagara Escarpment Plan",0,20,20,notice-389.json
010-5855,/notice/010-5855,Crown Land Roads Manual – Update and revision of the 1992 Access Roads Manual,0,2,0,notice-343.json
010-5976,/notice/010-5976,"Amendments to Park Management Plans, Park Boundaries, and to Crown Land Use Policy to Transfer Certain Lands and Lands under Water to the Lake Superior National Marine Conservation Area (Amendment #2007-34)",0,0,0,notice-311.json
010-6875,/notice/010-6875,"Giofam Investments Inc.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",157,124,0,notice-372.json
010-7124,/notice/010-7124,"Dufferin Aggregates
      
         - Approval of an amendment to the Niagara Escarpment Plan",1,21,0,notice-389.json
010-7226,/notice/010-7226,"Regulation of Dedicated Protected Areas, identified in the Whitefeather Forest and Adjacent Areas Land Use Strategy (2006) (Whitefeather Strategy), as provincial parks under the Provincial Parks and Conservation Reserves Act (2006)",3,0,0,notice-118.json
010-8076,/notice/010-8076,"Toronto Transit Commission
      
         - Approval for variance from the Liquid Fuels Handling Code",0,0,0,notice-362.json
010-9242,/notice/010-9242,"Kagiano Power Corporation
      
         - Permit to take water",0,0,0,notice-265.json
011-0167,/notice/011-0167,"Beaver Power Corporation
      
         - Permit to take water",0,0,0,notice-266.json
011-0355,/notice/011-0355,"A. Miron Topsoil Ltd. 
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",2,0,0,notice-224.json
011-0407,/notice/011-0407,"Municipality of Oliver Paipoonge 
      
         - Approval to amend a municipality’s official plan",0,0,0,notice-336.json
011-1300,/notice/011-1300,New cottage leases in Rondeau provincial park,202,1532,0,notice-355.json
011-2467,/notice/011-2467,Thompson Island Provincial Park Management Plan,0,0,0,notice-311.json
011-2469,/notice/011-2469,Slate Islands Provincial Park management plan,6,19,23,notice-364.json
011-2498,/notice/011-2498,"C. H. Demill Holdings Inc.
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",1,26,0,notice-196.json
011-2731,/notice/011-2731,"Niagara Escarpment Commission
      
         - Approval of an amendment to the Niagara Escarpment Plan",2,39,0,notice-389.json
011-2900,/notice/011-2900,"Protecting Escarpment Rural Land (PERL)
      
         - Approval of an amendment to the Niagara Escarpment Plan",4,16,0,notice-389.json
011-2912,/notice/011-2912,Technical Guidance: Soil Vapour Intrusion Assessment,5,7,0,notice-282.json
011-3163,/notice/011-3163,"HFI Pyrotechnics Inc.
      
         - Environmental Compliance Approval (waste)",0,0,0,notice-275.json
011-3231,/notice/011-3231,"Vicdom Sand & Gravel (Ontario) Limited,
      
         - Issuance of a licence to remove over 20,000 tonnes of aggregate annually from a pit or a quarry",1,0,4,notice-254.json
011-3660,/notice/011-3660,"957293 Ontario Inc.
      
         - Order to remove, open, repair or improve a dam",3,0,0,notice-114.json
011-4280,/notice/011-4280,"Alexander Centre Industries Limited
      
         - Changes to the conditions of a licence to operate a pit or quarry",0,0,0,notice-49.json
011-4525,/notice/011-4525,"Algonquin Power General Partner (Nagagami) Inc.
      
         - Permit to take water",1,0,0,notice-262.json
011-4887,/notice/011-4887,"South River Power Generation Corporation
      
         - Permit to take water",0,0,0,notice-262.json
011-4901,/notice/011-4901,"CPOT Title Corp.
      
         - Permit to take water",0,0,0,notice-262.json
011-5558,/notice/011-5558,Murphys Point Provincial Park Management Plan,4,0,0,notice-311.json
