,url,comment,page_file
36153,/comment/36153,"Extension should be allowed while all options are examined.
While process is ongoing lease, pilt and fees need to remain consititent or lowered considering the situation.
This is impacting investment values and lives.
Cottagers options will be limited again, lease values questionable and causing much uncertainty.
All aspects of this need to be considered.
Some cottagers have been there since cottage built, in fact urged by government to build there to begin with.
",comments-0.json
36180,/comment/36180,"For decades the leaseholders knew that their lease was up in 2017.  Most of us follow provincial policy and accept government decisions are made for the common good.  There is no way anyone can say they were surprised, nor that they weren't consulted on the approved park plan.
In today's world, provincial parks are for all, for the public, not for a select few.  So many cottages have no place in an area with so many species-at-risk in an area that is supposed to be protected.  Times change, people are moving on from old white men having all the advantages in the name of culture and heritage (that likely usurped others' culture and heritage that they did not care about over 100 years ago).  There are a lot of other nice places to own cottages these days. An area of Ontario with such small amounts of Crown land, most of it in provincial parks: this is not the right place.
It's time that these leaseholders accept the decision that was approved decades ago: their leases should end.  If another extension or sale does occur, they should be made to pay fair market value for their leases retroactively some years as well as for the remainder of their lease/sale, as not only have they had great privilege of the park being ""theirs"", but they have been paying next to nothing for their cottages.  Neither of these is a fair and equitable use of Crown land, nor is it a fair return for Ontario's taxpayers.
Having said that about sale of land, I seriously doubt that potential new lots would meet many of the provincial requirements for new lots/subdivisions.  That, in itself, should say something.
Please think about the purpose of the land, and about who your decision is for.
",comments-0.json
36183,/comment/36183,"I support the proposal of a short-term extension to the cottage lots at Rondeau.
However the significant delays in this process are unconscionable. These discussions have been ongoing for over 10 years with little progress. As a cottage owner since 1996 I was pleased to see the last round of ""conditions"" that required a commitment from cottage owners to commit to their cottage ownership or give up their lease, and for the septic system inspection process to occur. However many cottages are in need of maintenance repairs, which have been put off for several years due to the uncertainty, (with a lease renewal date decision being expected at some point in 2017 or 2018) and now  it is becoming  crucial that these maintenance projects be done (i.e. new roofs, windows, etc.) but committing thousands of dollars into these repairs with no certainty of the outcome is putting many cottage owners in a very untenable position.
The cottage community at Rondeau has been there for the past 100 years and is part of the ""cultural fabric"" of the Park. The cottagers provide not only significant financial contributions to the operation of the Park, but contribute to the vitality of the ""Rondeau Park community"", bringing visitors in and providing for many of the recreational opportunities for kids and families to enjoy our great Ontario outdoors, and participate in the Ministry-sponsored environmental education programs as well. This unique partnership has enabled Rondeau to remain a viable part of the Chatham-Kent/Southwestern Ontario community experience for generations. We sincerely hope this can continue well into the future, and that the financial and recreational contributions of the cottagers be recognized through their long-term continued presence in the Park.
",comments-0.json
36200,/comment/36200,"I reached out to the Ministry for general perspective on the need to extend the Rondeau Park assessment process and while I didn't learn anything new, it was encouraging to hear that the file is being worked on toward a constructive outcome.
That said, this extension serves to exacerbate the uncertainty of the current situation for all leaseholders, especially for the many families who have known Rondeau Park as their summer home for five generations going back almost one hundred years.
Its interesting that when Gros Morne became a National Park in 2005, they had a problem to solve because there were several communities with many generations of people living in the geography the Park took in. The early reaction at the federal level was that National Parks were for preservation of wildlife and indigenous species.....and so the humans would have to vacate. But after further investigation and consideration it was determined that people living there were actually a part of the established eco-systems and therefore, they were indigenous too. Forcing everyone to leave would negatively impact nature's balance. And so the progressive decision was brought down, that they should stay.
I will acknowledge that Rondeau Park is a very different situation. It is a smaller geography and likely a more fragile natural environment.
That said, on many levels, the cottagers have become the custodians of Rondeau because they have the most to lose if it is compromised in any way. If people are a bad thing for ""Parks"" why are there virtually as many campsites as there are cottages in the Park?
Please consider the upside that accompanies a seasonal community with a vested stake in the preservation of Rondeau Park on every level! Positioned properly, the Park Superintendent could deputize every cottage owner with a duty to respect and protect Rondeau and to report anything that might bring harm to it.
Thank you
",comments-0.json
36493,/comment/36493,"To whom it may concern;
As a stakeholder in the Rondeau Park cottager community, I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever and the heritage of generations is preserved.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible. Thank you for your time.
",comments-0.json
36494,/comment/36494,"I support the continuation of the Rondeau cottage community in perpetuity. I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever. If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
36497,/comment/36497,"Hello,
I am a Rondeau Cottager, and I strongly support the long term continuation of the Rondeau cottage community.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. I am told we have to sign a new lease, but I am hoping that this lease extension can be granted automatically to all existing leaseholders.
I am really hoping for a long term lease extension as soon as possible.  may family and I are committed members of the Rondeau community and committed nature lovers.  And we have the best intentions for the future of Rondeau Park.
",comments-0.json
36504,/comment/36504,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
36506,/comment/36506,"I support the three-year lease extension as described in ERO Policy Proposal 019-0907.
Moreover, I support the continuation of the Rondeau cottage community in perpetuity.
Rondeau cottagers are a key economic resource to the park and surrounding communities, both of which would suffer in the absence of this group.
This lease extension should be granted automatically to all existing leaseholders and should be used to reach a permanent solution that will ensure the cottage community remains forever.
If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
36508,/comment/36508,"Rondeau cottagers are a key economic resource to the park and surrounding communities, both of which would suffer in the absence of this group.
I support the three-year lease extension as described in ERO Policy Proposal 019-0907. I also support the continuation of the Rondeau cottage community in perpetuity.
This lease extension should be granted automatically to all existing leaseholders and should be used to reach a permanent solution that will ensure the cottage community remains forever.
",comments-0.json
36509,/comment/36509,"Rondeau cottagers are an important group to the park and surrounding communities,
I support the three-year lease extension as described in ERO Policy Proposal 019-0907. I also support the continuation of the Rondeau cottage community in perpetuity.
If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
This lease extension should be granted automatically to all existing leaseholders and should be used to reach a permanent solution that will ensure the cottage community remains forever.
",comments-0.json
36511,/comment/36511,"I support the continuation of the Rondeau cottage community in perpetuity.
I support the three-year lease extension as described in ERO Policy Proposal 019-0907.
This lease extension should be granted automatically to all existing leaseholders.
This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
36513,/comment/36513,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
36514,/comment/36514,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-0.json
