,url,comment,page_file
100494,/comment/100494,"Why is this proposal not consistent with what was implemented for cottage leases in Algonquin Provincial Park? One would think that it should be to be fair including updated terms and conditions to better protect the park environment and updated lease fees to reflect fair market value lease rates for allowing a privileged few (including approximately 30% non-residents) to recreate and dwell in a provincial park...
",comments-0.json
100501,/comment/100501,"We are in favour of this decision of a 14 year extension. Of course, we wish we did not have go through these extensions all of the time (this has happened too many times throughout my 60 years on this planet) and wish that this issue would be settled once and for all. The cottagers have proven since the 1890's that they love the location, the land and wildlife. Cottagers have always been very respectful of the environment. They have a right to have and maintain their cottages. Many have been here 2, 3, 4 generations, residing beside all of the campers that come from both Canada and the United States. Most years, the campgrounds cannot even be filled, so no sense in expanding that area. Ecology and wildlife have thrived (hence, the culls most years). Birdwatchers come to experience the wonder of Rondeau Park. If that weren't the case, we would have no visitors. These 2 factors show that the environment is not being hurt by cottages existing in the park. Cottagers put out nuts for the wildlife, hummingbird feeders, water pedestals for the birds. If anything, we are adding to the existence of wildlife and not hindering it. This is done for free and out of love. We are tired of having to fight government after government to keep our cottages. It costs so much money to fight for what is ours. My father was raised at Rondeau beginning in the 1930's, as was I, my children and now the family's grandchildren and great-grandchildren. It's not just about cottages, it's about family history and ancestral dwellings. So, we are in favour of this extension. Thank you.
",comments-0.json
100509,/comment/100509,"Building more cottages will lead to more wildlife complaints and more animals killed.  Garbage will be left around and rodenticide use will go up, killing all sorts of wildlife.  Wildlife should be allowed to live in their homes without people coming into their space.  Therefore I do not agree with building more cottages.
",comments-0.json
100512,/comment/100512,"Provincial parks with cottages already built and environmentally maintained should be allowed to stay in perpetuity with these exceptions:
1. No further cottages should be allowed in Provincial Parks.
2. Strict environmental rules must be mandated, advised and compliance shown prior to leasing continuance.
3. REASONABLE lease increases should be initiated.
4. Transparency in all political considerations as regard Provincial Park cottages MUST occur with cottager leaseholders and their associations.
Most cottagers are valuable stewards for their particular Provincial Parks, particularly if they are Ontario residents and tax payers.
",comments-0.json
100514,/comment/100514,"Hi there,
I think it was a mistake to not end the leases in 2017 as per the original agreement.  However, although it was a long extension, I liked the proposal here https://ero.ontario.ca/notice/011-1300  better than this one.  At least it was a reasonable length of time, and it was final.  This one is just postponing the problem to 2038 with no finality at all.
One three-year and two two-year extensions... now it's not as high profile anymore.  Your proposals are getting softer and softer... what happens in 14 years?  The same darn thing. This is costing the taxpayers a lot of money with all the work going on behind the scenes on this file.
Make a final decision and stick with it, and with the consequences.  For example, many honorable cottagers left because they kept to the original lease agreement!!  Be like that.
If you terminate the leases, you are keeping with the government's mandate there to put ecological integrity as a priority. If you don't, then you are serving the interests of a few hundred well-off people with really cheap cottages (who throw fits when they have to meet their agreements), instead of the people of Ontario as a whole and the natural habitat that could exist there if these leases ended.  You should at least start charging more for the leases (at least fair market value for rental of the land!)... I should think that these people can afford it if they really want to stay badly enough.
I looked for the plan amendment wording attachment to the posting but didn't find it. What's online is about the 2022 amendment.  As such, I assume the plan amendment is ONLY changing ""2024"" to ""2038"", but it would be good to have that clarification in the posting itself.
In summary, if you must do this, please have a final and binding decision in 2038 associated with the lease extension.  As well, get an appraiser and start charging fair market value rent for each leaseholder based on each parcel's land value.
Thanks.
",comments-0.json
100533,/comment/100533,"I have no issue with the extension of the leases until 2038 . However , I think it would be advisable to extend the previous lease extension offer of several years ago that does not allow transfer of the lease to anyone but the leasee,s  spouse . As well , any lease should be considered to expire on the death of the leasee and/or their spouse  and the property on the leased land removed and environmental remediation to take place . The purpose of this is , obviously , to avoid real estate speculation and the potential windfall profits that may ensue .
",comments-0.json
100535,/comment/100535,"Previously , the plan , before recent short term extensions , had been that , on the death of the leasee , no one but their spouse could continue the lease until the end . That should still be the case if the 2038 extension is approved . In short , if the extension is granted , there should be no room for real estate speculation and the attendant financial windfall that would occur . Any sales of property on leased land should involve the removal of said property from the park . Buy a house from a leaseholder and all you get is the house , not the lease . Is this the status of the current proposal or will sales of property allow the buyer to assume the lease until 2038 ?
",comments-0.json
100551,/comment/100551,"Though the previous lease only expired in 2017, it's fair to say that successive governments have left Rondeau's cottagers in limbo for decades. For as long as I can remember, cottagers have asked for greater transparency regarding the government's intentions. Does the government want cottages at Rondeau or not? If they do want cottages, then cottagers deserve real proof in the form of an extended lease. 14 years is a step in the right direction, but it's less than half as long as it should be. Cottagers deserve to know why 14 years was chosen. Why not 30 years? What is the motivation behind this direction?
I am happy to tell my children, the 4th generation of my family at Rondeau, that we'll be able to remain at Rondeau for 14 years. But the question remains, ""What then?"" It's incumbent upon the government to explain its long-term strategy, even if this current lease is only a medium-term solution.
",comments-0.json
100692,/comment/100692,"I fully support the ERO 019-8289 proposal to extend the leases of the cottages at Rondeau Provincial Park through at least 2038.
The cottages are part of the heritage of the park and have been there since its inception. They are part of an officially designated Heritage Community that should be respected.
The cottages make up less than 1% of the park's land and the people who inhabit the cottages are lvoers of Rondeau and work to protect it and abide by its regulations.
Thank you.
",comments-0.json
100693,/comment/100693,"I support the proposal in ERO 019-8289 to amend the Rondeau Park Management Plan to allow cottages to remain in Rondeau Park until at least 2038. The original 1894 Park charter describes the cottage community as one of the two reasons the Park was created and the Heritage Cottage Community has been integral to the park since its very inception.
New leases or extensions as part of this initiative must have reasonable terms and conditions and not be driven to achieve eviction by punitive economic terms. New lease agreements must be developed in consultation with the Rondeau Cottagers Association.
The decision for ERO 011-1300 posted on December 20, 2019 stated that “Our final policy decision respecting this proposal will allow us to consult on a proposal for a new option for the long-term occupation of cottage lots. We expect to post a new proposal on the Environmental Registry of Ontario early in 2020”. The cottage community is anxiously awaiting this outstanding proposal and to have discussions to develop the long term cottage tenure solution.
",comments-0.json
