"id","latitude","longitude","survey"
1356,43.6599670531233,-79.3778753618068,"{""map"": [[43.65996705312329, -79.37787536180679]], ""comments"": ""Bike has been here forever"", ""location"": ""Gerrard Street East"", ""happening"": [{""date"": ""2019-06-01T14:42:10.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
1398,43.7059467074119,-79.4423284678769,"{""map"": [[43.7059467074119, -79.4423284678769]], ""picture"": null, ""comments"": ""No bike parking anywhere close by. This is a bike route with many shops/restaurants and no bike rings. This makes no sense at all and I almost left before finding a small retaining wall with some basic metal rails that worked."", ""location"": ""Marlee Avenue"", ""happening"": [{""date"": ""2019-07-23T16:55:00.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""absent""]}"
1435,43.6872216406928,-79.39834642558662,"{""map"": [[43.6872216406928, -79.39834642558662]], ""picture"": null, ""comments"": """", ""location"": ""Saint Clair Avenue West"", ""happening"": [{""date"": ""2019-08-23T19:25:38.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
407,43.647360421364645,-79.39553453167724,"{""map"": [[43.647360421364645, -79.39553453167724]], ""picture"": null, ""happening"": [{""date"": ""2018-06-07T19:10:59.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
1465,43.65844591873466,-79.35949828405609,"{""map"": [[43.65844591873466, -79.35949828405609]], ""picture"": null, ""comments"": ""Several abandoned bikes on rack at Regent Park community centre. "", ""location"": ""Shuter Street"", ""happening"": [{""date"": ""2019-10-10T00:19:30.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
1495,43.651047155014915,-79.36519647501949,"{""map"": [[43.651047155014915, -79.36519647501949]], ""picture"": null, ""comments"": ""No bike parking at all on block LCBO and dollar store are high volume retail for local bike community. Some parking in front of metro always full."", ""location"": ""Front Street East"", ""happening"": [{""date"": ""2020-05-27T15:57:19.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""absent""]}"
446,43.64106231851017,-79.37698368521671,"{""map"": [[43.64106231851017, -79.37698368521671]], ""picture"": null, ""happening"": [{""date"": ""2018-06-12T22:40:00.000Z"", ""time"": [""days""]}], ""problem_type"": [""badly""]}"
459,43.6394732,-79.38107930000001,"{""map"": [[43.6394732, -79.38107930000001], [43.6394732, -79.38107930000001]], ""picture"": null, ""happening"": [{""date"": ""2018-06-13T00:43:21.000Z"", ""time"": [""days""]}], ""problem_type"": [""damaged""]}"
472,43.652861,-79.38323910000003,"{""map"": [[43.652861, -79.38323910000003]], ""picture"": null, ""happening"": [{""date"": ""2018-06-14T19:28:55.000Z"", ""time"": [""hours""]}], ""problem_type"": [""other""]}"
485,43.65278247806378,-79.38370235442335,"{""map"": [[43.65278247806378, -79.38370235442335]], ""picture"": null, ""happening"": [{""date"": ""2018-06-15T00:47:29.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
496,43.64977129095396,-79.38812818308105,"{""map"": [[43.64977129095396, -79.38812818308105]], ""picture"": null, ""happening"": [{""date"": ""2018-06-15T13:20:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
508,43.6711159,-79.41411049999999,"{""map"": [[43.6711159, -79.41411049999999]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:06:42.000Z"", ""time"": [""hours""]}], ""problem_type"": [""damaged""]}"
518,43.639613257734574,-79.38086061336969,"{""map"": [[43.639613257734574, -79.38086061336969]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:43:03.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
529,43.698479999999996,-79.30147349999999,"{""map"": [[43.698479999999996, -79.30147349999999]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T16:12:29.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
559,43.64164329518506,-79.38075258837705,"{""map"": [[43.64164329518506, -79.38075258837705], [43.639813731788, -79.38126681069355], [43.63974057045229, -79.38140958876113], [43.639600502660215, -79.38158532963814]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-27T00:11:33.000Z"", ""time"": [""overnight""]}], ""problem_type"": [""other""]}"
568,43.6584186,-79.48162680000002,"{""map"": [[43.6584186, -79.48162680000002]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-27T03:35:43.000Z"", ""time"": [""overnight""]}], ""problem_type"": [""damaged""]}"
577,43.6484512,-79.39302780000003,"{""map"": [[43.6484512, -79.39302780000003]], ""picture"": null, ""comments"": ""testing"", ""happening"": [{""date"": ""2018-06-27T15:06:12.000Z"", ""time"": [""days""]}], ""problem_type"": [""badly""]}"
585,43.68211163972182,-79.47204500491836,"{""map"": [[43.68211163972182, -79.47204500491836]], ""picture"": null, ""comments"": ""This is a large shopping plaza and the retail along Rogers also services transit riders and walk in customers. It’s an urban environment and should have bike rings on Rogers or Keele. "", ""happening"": [{""date"": ""2018-06-27T23:30:00.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""absent""]}"
592,43.65049713558581,-79.44499101419677,"{""map"": [[43.65049713558581, -79.44499101419677]], ""picture"": null, ""comments"": ""Hello, it would be awesome if we could get bike parking posts installed on the sidewalk in front of 383 Sorauren Avenue.\n\nThere's a ton of room there so I imagine you could fit at least four parking posts there!\n\nThank you!"", ""happening"": [{""date"": ""2018-06-29T15:09:50.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
598,43.6486432,-79.39272819999996,"{""map"": [[43.6486432, -79.39272819999996]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-29T18:35:29.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""full""]}"
604,43.6704804672045,-79.38686634657898,"{""map"": [[43.6704804672045, -79.38686634657898]], ""picture"": null, ""comments"": ""It's always so full when the weather is nice. Lots of people commute to work.\n"", ""happening"": [{""date"": ""2018-06-28T13:30:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
611,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-03T16:17:51.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent"", ""full"", ""damaged"", ""badly"", ""other""]}"
617,43.70390617027408,-79.31159625297852,"{""map"": [[43.70390617027408, -79.31159625297852]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-04T03:52:41.000Z"", ""time"": [""hours""]}], ""problem_type"": [""badly""]}"
1302,43.6446086135111,-79.4114097573303,"{""map"": [[43.644608613511124, -79.41140975733032]], ""comments"": ""This stretch of Richmond Ave is near my office. During the day, there can be bikes chained to every pole and fence. There are no ring-and-posts on this block."", ""happening"": [{""date"": ""2019-05-09T13:04:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
395,43.76566009166408,-79.41223613051795,"{""map"": [[43.76566009166408, -79.41223613051795]], ""picture"": null, ""happening"": [{""date"": ""2018-06-06T02:24:06.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""absent""]}"
1436,43.692123545705556,-79.53216104752198,"{""map"": [[43.692123545705556, -79.53216104752198]], ""picture"": null, ""comments"": ""Royal York is a great N-S bike route that basically connects the waterfront to Weston and all the neighborhoods in between. Unfortunately, the retail centers don’t think cyclists shop. There wasn’t a single bike ring in the entire plaza or even a place that felt safe to lock a bike. Traffic on Royal York, of course, was at a stand still but that seems to be exactly what this city wants. "", ""location"": ""Royal York Road"", ""happening"": [{""date"": ""2019-08-24T15:00:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
434,43.66529843868532,-79.36905379606918,"{""map"": [[43.66529843868532, -79.36905379606918]], ""picture"": null, ""happening"": [{""date"": ""2018-06-11T00:58:03.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""badly""]}"
447,43.63977013450572,-79.38149666793066,"{""map"": [[43.63977013450572, -79.38149666793066]], ""picture"": null, ""happening"": [{""date"": ""2018-06-13T00:10:55.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full"", ""damaged""]}"
460,43.6929707,-79.30268050000001,"{""map"": [[43.6929707, -79.30268050000001]], ""picture"": null, ""happening"": [{""date"": ""2018-06-13T13:49:26.000Z"", ""time"": [""days""]}], ""problem_type"": [""other""]}"
1466,43.6518772212738,-79.3655834730001,"{""map"": [[43.65187722127377, -79.36558347300013]], ""comments"": ""On King St E, north side, in front of Wolf/SubZero showroom, across street from Rooster Coffee"", ""location"": ""King Street East"", ""happening"": [{""date"": ""2019-10-10T00:42:59.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""badly""]}"
486,43.65269110259881,-79.38369312371037,"{""map"": [[43.65269110259881, -79.38369312371037]], ""picture"": null, ""happening"": [{""date"": ""2018-06-15T00:48:33.000Z"", ""time"": [""days""]}], ""problem_type"": [""badly""]}"
519,43.639277299999996,-79.38086220000002,"{""map"": [[43.639277299999996, -79.38086220000002]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:50:42.000Z"", ""time"": [""days""]}], ""problem_type"": [""badly""]}"
530,43.698479999999996,-79.30147349999999,"{""map"": [[43.698479999999996, -79.30147349999999]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T16:24:59.000Z"", ""time"": [""days""]}], ""problem_type"": [""other""]}"
541,43.6289467,-79.3944199,"{""map"": [[43.6289467, -79.3944199]], ""picture"": null, ""happening"": [{""date"": ""2018-06-21T23:17:00.000Z"", ""time"": [""days""]}], ""problem_type"": [""other""]}"
551,43.66593520000001,-79.40743029999999,"{""map"": [[43.66593520000001, -79.40743029999999]], ""picture"": null, ""happening"": [{""date"": ""2018-06-25T23:19:34.000Z"", ""time"": [""days""]}], ""problem_type"": [""damaged""]}"
