id,latitude,longitude,issues,parking_duration,parking_time,comments
1356,43.65996705312329,-79.37787536180679,['damaged'],['hours'],2019-06-01T14:42:10.000Z,Bike has been here forever
1398,43.7059467074119,-79.4423284678769,['not_provided'],['minutes'],2019-07-23T16:55:00.000Z,No bike parking anywhere close by. This is a bike route with many shops/restaurants and no bike rings. This makes no sense at all and I almost left before finding a small retaining wall with some basic metal rails that worked.
1435,43.6872216406928,-79.39834642558662,['not_provided'],['hours'],2019-08-23T19:25:38.000Z,
407,43.647360421364645,-79.39553453167724,['full'],['hours'],2018-06-07T19:10:59.000Z,
1465,43.65844591873466,-79.35949828405609,['damaged'],['hours'],2019-10-10T00:19:30.000Z,Several abandoned bikes on rack at Regent Park community centre. 
1495,43.651047155014915,-79.36519647501949,['not_provided'],['minutes'],2020-05-27T15:57:19.000Z,No bike parking at all on block LCBO and dollar store are high volume retail for local bike community. Some parking in front of metro always full.
446,43.64106231851017,-79.37698368521671,['damaged'],['multiday'],2018-06-12T22:40:00.000Z,
459,43.6394732,-79.38107930000001,['damaged'],['multiday'],2018-06-13T00:43:21.000Z,
472,43.652861,-79.38323910000003,['other'],['hours'],2018-06-14T19:28:55.000Z,
485,43.65278247806378,-79.38370235442335,['full'],['hours'],2018-06-15T00:47:29.000Z,
496,43.64977129095396,-79.38812818308105,['full'],['hours'],2018-06-15T13:20:00.000Z,
508,43.6711159,-79.41411049999999,['damaged'],['hours'],2018-06-20T00:06:42.000Z,
518,43.639613257734574,-79.38086061336969,['full'],['hours'],2018-06-20T00:43:03.000Z,
529,43.698479999999996,-79.30147349999999,['damaged'],['hours'],2018-06-20T16:12:29.000Z,
559,43.64164329518506,-79.38075258837705,['other'],['overnight'],2018-06-27T00:11:33.000Z,
568,43.6584186,-79.48162680000002,['damaged'],['overnight'],2018-06-27T03:35:43.000Z,
577,43.6484512,-79.39302780000003,['damaged'],['multiday'],2018-06-27T15:06:12.000Z,testing
585,43.68211163972182,-79.47204500491836,['not_provided'],['minutes'],2018-06-27T23:30:00.000Z,This is a large shopping plaza and the retail along Rogers also services transit riders and walk in customers. It’s an urban environment and should have bike rings on Rogers or Keele. 
592,43.65049713558581,-79.44499101419677,['not_provided'],['hours'],2018-06-29T15:09:50.000Z,"Hello, it would be awesome if we could get bike parking posts installed on the sidewalk in front of 383 Sorauren Avenue.There's a ton of room there so I imagine you could fit at least four parking posts there!Thank you!"
598,43.6486432,-79.39272819999996,['full'],['minutes'],2018-06-29T18:35:29.000Z,
604,43.6704804672045,-79.38686634657898,['full'],['hours'],2018-06-28T13:30:00.000Z,It's always so full when the weather is nice. Lots of people commute to work.
611,43.6580617,-79.3864974,"['not_provided', 'full', 'damaged', 'damaged', 'other']",['hours'],2018-07-03T16:17:51.000Z,
617,43.70390617027408,-79.31159625297852,['damaged'],['hours'],2018-07-04T03:52:41.000Z,
1302,43.644608613511124,-79.41140975733032,['not_provided'],['hours'],2019-05-09T13:04:00.000Z,"This stretch of Richmond Ave is near my office. During the day, there can be bikes chained to every pole and fence. There are no ring-and-posts on this block."
395,43.76566009166408,-79.41223613051795,['not_provided'],['minutes'],2018-06-06T02:24:06.000Z,
1436,43.692123545705556,-79.53216104752198,['not_provided'],['hours'],2019-08-24T15:00:00.000Z,"Royal York is a great N-S bike route that basically connects the waterfront to Weston and all the neighborhoods in between. Unfortunately, the retail centers don’t think cyclists shop. There wasn’t a single bike ring in the entire plaza or even a place that felt safe to lock a bike. Traffic on Royal York, of course, was at a stand still but that seems to be exactly what this city wants. "
434,43.66529843868532,-79.36905379606918,['damaged'],['minutes'],2018-06-11T00:58:03.000Z,
447,43.63977013450572,-79.38149666793066,"['full', 'damaged']",['hours'],2018-06-13T00:10:55.000Z,
460,43.6929707,-79.30268050000001,['other'],['multiday'],2018-06-13T13:49:26.000Z,
1466,43.65187722127377,-79.36558347300013,['damaged'],['minutes'],2019-10-10T00:42:59.000Z,"On King St E, north side, in front of Wolf/SubZero showroom, across street from Rooster Coffee"
486,43.65269110259881,-79.38369312371037,['damaged'],['multiday'],2018-06-15T00:48:33.000Z,
519,43.639277299999996,-79.38086220000002,['damaged'],['multiday'],2018-06-20T00:50:42.000Z,
530,43.698479999999996,-79.30147349999999,['other'],['multiday'],2018-06-20T16:24:59.000Z,
541,43.6289467,-79.3944199,['other'],['multiday'],2018-06-21T23:17:00.000Z,
551,43.66593520000001,-79.40743029999999,['damaged'],['multiday'],2018-06-25T23:19:34.000Z,
560,43.64164329518506,-79.38075258837705,['other'],['overnight'],2018-06-27T00:11:33.000Z,
569,43.6584186,-79.48162680000002,['damaged'],['overnight'],2018-06-27T03:35:43.000Z,This is a comment!
578,43.65792260632019,-79.40354007320803,['damaged'],['hours'],2018-06-27T15:47:27.000Z,
586,43.670824332838826,-79.3740198181597,['damaged'],['hours'],2018-06-28T19:59:25.000Z,sdgsadg
593,43.65365271107963,-79.37422361154785,['full'],['hours'],2018-06-29T15:35:36.000Z,Test. Penis. Penis.
599,43.70330783133952,-79.36363477357361,['not_provided'],['minutes'],2018-06-29T18:59:03.000Z,
605,43.65156480760996,-79.37304539075893,['full'],['hours'],2018-07-01T16:49:25.000Z,Too many people visiting the park today. 
612,43.6580617,-79.3864974,"['not_provided', 'full', 'damaged', 'damaged', 'other']",['hours'],2018-07-03T16:17:51.000Z,
618,43.6580617,-79.3864974,['damaged'],['minutes'],2018-07-04T05:14:32.000Z,
623,43.647372,-79.39577889999998,['full'],['minutes'],2018-07-05T14:53:36.000Z,Tons of parking. All full. 
628,43.649529146006074,-79.38881929523683,['full'],['hours'],2018-07-05T18:30:00.000Z,
1358,43.64938887383572,-79.42171833006415,['damaged'],['hours'],2019-06-05T17:43:16.000Z,Bike was abandoned here months ago
1400,43.604278747883264,-79.5181058332854,['not_provided'],['hours'],2019-07-26T17:46:25.000Z,
435,43.76810273401365,-79.41301456984576,['not_provided'],['hours'],2018-06-10T20:09:00.000Z,
487,43.65273900401792,-79.38369433532301,['full'],['hours'],2018-06-15T00:49:31.000Z,
